rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup 3.28309061166184e-05 6.64814482611688e-05 0.49383560339486 0.621669268547069 convgroup 0.0471389747947048 0.95 -0.140001779852171 0.234226064806663
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.00124698827630167 0.000862844354632916 1.44520650753076 0.149113315572494 convgroup 0.137951886545458 0.95 -0.0494367005180184 0.325183744571579
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.000122539941719985 6.49912503239871e-05 1.88548367832766 0.0600246372750873 convgroup 0.179978452297714 0.95 -0.0075897221203839 0.367342504143382
lh_cuneus_thickness.aparcnative71 convgroup 3.96319848266452e-05 6.11376217342856e-05 0.648242174006907 0.51716723566463 convgroup 0.0618778218729262 0.95 -0.125290079499851 0.248975308423096
lh_entorhinal_thickness.aparcnative71 convgroup 0.00153228499585576 0.000996589066506681 1.53752940640503 0.124884135614268 convgroup 0.146764549652555 0.95 -0.0406582943561372 0.33402071336086
lh_fusiform_thickness.aparcnative71 convgroup -2.2671767858853e-06 0.000100479012947592 -0.0225636848867914 0.982008563790217 convgroup -0.00215381184718605 0.95 -0.189240595173343 0.184935426528853
lh_inferiorparietal_thickness.aparcnative71 convgroup -5.60602566827588e-07 1.98453178983361e-06 -0.282486060288603 0.777703969802881 convgroup -0.0269646481222875 0.95 -0.214045749933456 0.160147157854213
lh_inferiortemporal_thickness.aparcnative71 convgroup 0.000201281428712074 0.000185403658778761 1.08563892448455 0.278234555896967 convgroup 0.10362943770279 0.95 -0.0836428973399318 0.290783930160126
lh_isthmuscingulate_thickness.aparcnative71 convgroup 0.000127106567028562 0.00017042156669502 0.745836160842409 0.456165559822325 convgroup 0.0711936355848733 0.95 -0.115994047195055 0.25830030278448
lh_lateraloccipital_thickness.aparcnative71 convgroup 5.43287637530612e-05 3.07913744391734e-05 1.76441502669472 0.0783575022415484 convgroup 0.168421869340712 0.95 -0.019092854868779 0.355745461550221
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.000403173246569446 0.000136705631030113 2.94920731158935 0.00335610978013544 convgroup 0.281515970435631 0.95 0.0933453540630048 0.469369037458456
lh_lingual_thickness.aparcnative71 convgroup -1.82002286982917e-05 7.40242717042019e-05 -0.245868392613427 0.805899020503974 convgroup -0.0234693162715363 0.95 -0.210550350290004 0.163638436899013
lh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.00049020282408012 0.000160320019426279 3.05765197530763 0.00236712413930513 convgroup 0.291867533252273 0.95 0.103622189920456 0.479783872525989
lh_middletemporal_thickness.aparcnative71 convgroup 0.000180843643972967 0.000126032765929404 1.43489387572645 0.152029354481256 convgroup 0.136967496421805 0.95 -0.0504173699852459 0.324196761580868
lh_parahippocampal_thickness.aparcnative71 convgroup 0.000207262919276676 0.000709265720094953 0.292221819558584 0.770255080945617 convgroup 0.0278939729981774 0.95 -0.15921895101482 0.214975148259822
lh_paracentral_thickness.aparcnative71 convgroup 0.000392269190771122 0.000175557945099471 2.23441434421474 0.0259584323469584 convgroup 0.213285556425643 0.95 0.0255459625273472 0.400783601819666
lh_parsopercularis_thickness.aparcnative71 convgroup 0.000139302560768025 8.47525956397189e-05 1.64363769294096 0.100967003252771 convgroup 0.156893094071267 0.95 -0.0305713624529115 0.344179421999512
lh_parsorbitalis_thickness.aparcnative71 convgroup 0.000261787478557259 0.000214539108844989 1.2202319659415 0.223032019525913 convgroup 0.116476988477109 0.95 -0.0708356552512795 0.303657209828183
lh_parstriangularis_thickness.aparcnative71 convgroup 8.34582567144469e-05 4.9278997015071e-05 1.69358675642126 0.0910531872904064 convgroup 0.161660971535408 0.95 -0.0258238915236145 0.348962341712009
lh_pericalcarine_thickness.aparcnative71 convgroup 0.000183080185633894 0.000141689007178374 1.29212695663406 0.196992944498821 convgroup 0.12333970985812 0.95 -0.0639960328648707 0.310535265618269
lh_postcentral_thickness.aparcnative71 convgroup -1.54304195944965e-06 4.69760606235109e-05 -0.0328474107655885 0.973811199127496 convgroup -0.00313544276173285 0.95 -0.190221721203152 0.183954413876984
lh_posteriorcingulate_thickness.aparcnative71 convgroup 0.000141653417674183 6.61180538520547e-05 2.14243174778172 0.0327081449046191 convgroup 0.204505376817286 0.95 0.0168134562767277 0.391965592830274
lh_precentral_thickness.aparcnative71 convgroup 0.000127462805103415 6.8422613673264e-05 1.86287541882109 0.0631474600855516 convgroup 0.17782038558947 0.95 -0.00973757181596289 0.365176648555696
lh_precuneus_thickness.aparcnative71 convgroup 0.000191227569604563 9.95250275174822e-05 1.92140182599772 0.0553282220298384 convgroup 0.183407011611891 0.95 -0.00417764134935129 0.370783652858751
lh_rostralanteriorcingulate_thickness.aparcnative71 convgroup 0.000604766184367807 0.000439735806461255 1.37529438240343 0.169741587043689 convgroup 0.131278439184503 0.95 -0.0560853873320127 0.318493097363318
lh_rostralmiddlefrontal_thickness.aparcnative71 convgroup 0.000369164374364731 0.000121770832890569 3.03163217004918 0.00257633949107618 convgroup 0.28938381815395 0.95 0.101156629987337 0.47728474630347
lh_superiorfrontal_thickness.aparcnative71 convgroup 0.00030695978284966 8.41811072359321e-05 3.64642130435933 0.000297808020232205 convgroup 0.348068387081501 0.95 0.15937457369814 0.536371479387943
lh_superiorparietal_thickness.aparcnative71 convgroup -1.94551575048566e-05 0.000143021905689554 -0.136029214623152 0.891860540040069 convgroup -0.0129846403851469 0.95 -0.200067177594272 0.174112679849506
lh_superiortemporal_thickness.aparcnative71 convgroup 0.00014769252869535 0.000165291419665208 0.893528103240301 0.372063995776398 convgroup 0.0852915392236852 0.95 -0.101929923278416 0.272415972926133
lh_supramarginal_thickness.aparcnative71 convgroup 0.000140983590643066 9.79880041289277e-05 1.43878418482294 0.150924239896182 convgroup 0.137338845067351 0.95 -0.0500474622034769 0.324569049656088
lh_frontalpole_thickness.aparcnative71 convgroup 0.000295847343877229 0.000193456930112669 1.52926723123812 0.126918415843404 convgroup 0.14597588544069 0.95 -0.0414438197187441 0.333229797372438
