rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup 5.01586472793989e-06 6.02936735678237e-05 0.0831905643018683 0.933739934300234 convgroup 0.00814771892213889 0.95 -0.183817664107594 0.200103335099547
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 8.9685598879982e-05 0.00050112306938436 0.178969208083281 0.858048800919784 convgroup 0.0175283196528048 0.95 -0.174445569756651 0.209481200959991
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 7.82501721481361e-05 0.000118417752093721 0.660797648702243 0.509106976584969 convgroup 0.0647188001574265 0.95 -0.127329881658298 0.25668994897402
lh_cuneus_thickness.aparcnative71 convgroup -1.16409598080615e-05 5.64601017446128e-05 -0.206180283923634 0.83675071312411 convgroup -0.0201933838866728 0.95 -0.212145859100795 0.171783306529315
lh_entorhinal_thickness.aparcnative71 convgroup 0.000980774717467231 0.000786293142137666 1.24733978322746 0.212972997607809 convgroup 0.122164983966946 0.95 -0.07004667101496 0.314230463182195
lh_fusiform_thickness.aparcnative71 convgroup -0.000188049045393588 0.000189705709709415 -0.991267187907183 0.322129963908713 convgroup -0.0970851260787203 0.95 -0.28909968257234 0.0950456797375102
lh_inferiorparietal_thickness.aparcnative71 convgroup -3.00529053715706e-05 0.000114539248417274 -0.262380850117733 0.793157404804527 convgroup -0.0256976910212295 0.95 -0.21764990102066 0.166285325740162
lh_inferiortemporal_thickness.aparcnative71 convgroup 0.000390935606381799 0.000258805123466103 1.51054044505035 0.131662943508226 convgroup 0.147942967692028 0.95 -0.0443674246391553 0.340076482122221
lh_isthmuscingulate_thickness.aparcnative71 convgroup -0.000213282062544453 0.000473955859791837 -0.450004062906042 0.652941351179681 convgroup -0.0440735875414251 0.95 -0.236030152290658 0.147935798053302
lh_lateraloccipital_thickness.aparcnative71 convgroup 2.39658242317056e-05 4.79074782092803e-05 0.500252259720553 0.617161357723712 convgroup 0.0489949171107661 0.95 -0.14302291400474 0.240954044353349
