rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup 3.90719998856496e-05 6.94886768652091e-05 0.562278656729062 0.574216467969187 convgroup 0.0539804784489392 0.95 -0.13424740409551 0.242146215513873
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.000657151421360893 0.000405755423935164 1.61957519874312 0.106049938934409 convgroup 0.155484194653179 0.95 -0.0330515907526905 0.343841402388354
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.000129303018884926 8.04989438458548e-05 1.6062697559427 0.108941952457383 convgroup 0.154206831268056 0.95 -0.0343235894471048 0.342560126635153
lh_cuneus_thickness.aparcnative71 convgroup 1.19630551708942e-05 2.0980230982885e-05 0.570206075455189 0.568832998563406 convgroup 0.0547415350008468 0.95 -0.133487755278114 0.242907801817981
lh_entorhinal_thickness.aparcnative71 convgroup 0.00204968645994633 0.00144228278236903 1.42114048992501 0.15599402785943 convgroup 0.136433852985952 0.95 -0.0520257620572673 0.324736680094146
lh_fusiform_thickness.aparcnative71 convgroup -6.99836167861553e-06 0.000121506805137293 -0.0575964586568457 0.95409657865927 convgroup -0.00552943697587158 0.95 -0.193689167961762 0.182636666847229
lh_inferiorparietal_thickness.aparcnative71 convgroup 1.93660096721052e-06 6.11928181183223e-05 0.0316475205221944 0.974767695072898 convgroup 0.00303825919598057 0.95 -0.185126153926256 0.191199178255692
lh_inferiortemporal_thickness.aparcnative71 convgroup 0.000259073801409781 0.000177684099545442 1.45805844232856 0.145547678589769 convgroup 0.139978089834088 0.95 -0.048495049093921 0.328290372809703
lh_isthmuscingulate_thickness.aparcnative71 convgroup 0.00018441350255396 0.000147629488195799 1.24916441022525 0.212278252430563 convgroup 0.119923620998899 0.95 -0.0684768403780325 0.308186198991903
lh_lateraloccipital_thickness.aparcnative71 convgroup 5.64152304213577e-05 3.38048189296181e-05 1.66885172610493 0.0958679431940051 convgroup 0.160214892664671 0.95 -0.0283411057044687 0.348586935154494
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.000393638947800682 0.000140600756405257 2.79969295944672 0.0053433457003154 convgroup 0.26877912517651 0.95 0.0796159088034749 0.457635405363107
lh_lingual_thickness.aparcnative71 convgroup 6.60503387934651e-07 2.79185100490091e-05 0.023658260658437 0.981136073341623 convgroup 0.00227126570487544 0.95 -0.185892662169732 0.190432576484574
lh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.000610177694371271 0.000180954595390406 3.37199336139999 0.000813117105616378 convgroup 0.323721721955252 0.95 0.134147319985496 0.512927849828399
lh_middletemporal_thickness.aparcnative71 convgroup 0.000127655762755105 8.74708615542308e-05 1.45940900188756 0.145175970363327 convgroup 0.14010774770087 0.95 -0.0483658934290214 0.328420390820843
lh_parahippocampal_thickness.aparcnative71 convgroup 0.000622658607494321 0.00084372905333156 0.737984077987694 0.460922964496387 convgroup 0.0708487386827322 0.95 -0.117413589678152 0.259029512933833
lh_paracentral_thickness.aparcnative71 convgroup 0.000368592970800866 0.000178175795096753 2.06870394825915 0.0391654945904586 convgroup 0.198601934396466 0.95 0.00986251491850168 0.387113676483645
