ROI SUVR plotrois hemi label SUVR_Z_within SUVR_Z_across
CTX_RH_LATERALORBITOFRONTAL_SUVR 1.23217411592506 rh_lateralorbitofrontal right rh_lateralorbitofrontal 0.683080999488176 2.4649972801692
CTX_RH_LINGUAL_SUVR 1.04274225995316 rh_lingual right rh_lingual -1.30523099595166 0.0389359766220873
CTX_RH_MEDIALORBITOFRONTAL_SUVR 1.21723593286495 rh_medialorbitofrontal right rh_medialorbitofrontal 0.526287051521485 2.27368337638308
CTX_RH_MIDDLETEMPORAL_SUVR 1.11905832435597 rh_middletemporal right rh_middletemporal -0.504203388855955 1.0163188446553
CTX_RH_PARACENTRAL_SUVR 1.22522348946136 rh_paracentral right rh_paracentral 0.61012593127807 2.37598033097405
CTX_RH_PARAHIPPOCAMPAL_SUVR 1.03001548555816 rh_parahippocampal right rh_parahippocampal -1.43881358723767 -0.124056328554259
CTX_RH_PARSOPERCULARIS_SUVR 1.21103611319282 rh_parsopercularis right rh_parsopercularis 0.461212591049053 2.19428203958913
CTX_RH_PARSORBITALIS_SUVR 1.14919996096799 rh_parsorbitalis right rh_parsorbitalis -0.187831164499127 1.40234398195245
CTX_RH_PARSTRIANGULARIS_SUVR 1.22484678142077 rh_parstriangularis right rh_parstriangularis 0.60617193361465 2.37115581613556
CTX_RH_PERICALCARINE_SUVR 1.19722234192037 rh_pericalcarine right rh_pericalcarine 0.316220678351244 2.01736852222858
CTX_RH_POSTCENTRAL_SUVR 1.0684536479313 rh_postcentral right rh_postcentral -1.03535948530178 0.368222743698428
CTX_RH_POSTERIORCINGULATE_SUVR 1.31441347384856 rh_posteriorcingulate right rh_posteriorcingulate 1.54628059713567 3.51824000359137
CTX_RH_PRECENTRAL_SUVR 1.17201360655738 rh_precentral right rh_precentral 0.051625103045511 1.69451924715944
CTX_RH_PRECUNEUS_SUVR 1.27720302185792 rh_precuneus right rh_precuneus 1.15571277173418 3.04168426697143
CTX_RH_ROSTRALANTERIORCINGULATE_SUVR 1.27831604137393 rh_rostralanteriorcingulate right rh_rostralanteriorcingulate 1.16739523160068 3.05593875212132
CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR 1.21503035909446 rh_rostralmiddlefrontal right rh_rostralmiddlefrontal 0.503136938979976 2.24543650550038
CTX_RH_SUPERIORFRONTAL_SUVR 1.1671102568306 rh_superiorfrontal right rh_superiorfrontal 0.000158632268645166 1.63172185245063
CTX_RH_SUPERIORPARIETAL_SUVR 1.13593282279469 rh_superiorparietal right rh_superiorparietal -0.327085514512188 1.23243121640453
CTX_RH_SUPERIORTEMPORAL_SUVR 1.08928067720531 rh_superiortemporal right rh_superiortemporal -0.816755112122728 0.634955334847203
CTX_RH_SUPRAMARGINAL_SUVR 1.17408459406713 rh_supramarginal right rh_supramarginal 0.073362573160721 1.72104246645524
CTX_RH_TEMPORALPOLE_SUVR 0.984413595628415 rh_temporalpole right rh_temporalpole -1.91745950609244 -0.70808154416306
CTX_RH_TRANSVERSETEMPORAL_SUVR 1.1287668657299 rh_transversetemporal right rh_transversetemporal -0.402300732763804 1.14065651964838
