model effect group term estimate std.error statistic df p.value d CI CI_low CI_high ROI plotrois hemi label pCol pInd pIndFDR FDRind
23 fixed NA convgroup 0.287798899688845 0.0116121071764383 24.7843819658165 1033.69109276768 8.29034901706226e-107 1.05038371711016 0.95 0.961672031636481 1.13888666401939 CTX_LH_POSTCENTRAL_SUVR lh_postcentral left lh_postcentral #aad6e7 1 2 1
24 fixed NA convgroup 0.487960658236576 0.0143334815688857 34.0434147761986 1017.98000611246 3.26444415278642e-170 1.4427896005261 0.95 1.34941260919502 1.53590602675797 CTX_LH_POSTERIORCINGULATE_SUVR lh_posteriorcingulate left lh_posteriorcingulate #aad6e7 1 2 1
25 fixed NA convgroup 0.270815537629928 0.0110680212244939 24.468288607055 1028.59879256727 1.42272677819443e-104 1.03698740496538 0.95 0.948412934690491 1.12535520572954 CTX_LH_PRECENTRAL_SUVR lh_precentral left lh_precentral #aad6e7 1 2 1
26 fixed NA convgroup 0.534023706913448 0.0154633170130125 34.5348741453119 1032.18582790848 2.46351723635871e-174 1.46361807709048 0.95 1.36996046396208 1.55701289425835 CTX_LH_PRECUNEUS_SUVR lh_precuneus left lh_precuneus #aad6e7 1 2 1
27 fixed NA convgroup 0.473165069475599 0.0147498351722573 32.0793462401238 1016.66244315719 1.51174989127694e-156 1.35955066350411 0.95 1.26726344166706 1.45158693513464 CTX_LH_ROSTRALANTERIORCINGULATE_SUVR lh_rostralanteriorcingulate left lh_rostralanteriorcingulate #aad6e7 1 2 1
28 fixed NA convgroup 0.524003486417834 0.0151796602570961 34.5201063490783 1026.56031661827 6.01216841721312e-174 1.46299220501013 0.95 1.36934304278531 1.55637859249018 CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR lh_rostralmiddlefrontal left lh_rostralmiddlefrontal #aad6e7 1 2 1
29 fixed NA convgroup 0.457910716829778 0.0136358956874701 33.5812716175696 1031.92427773535 1.12409816398685e-167 1.42320357052271 0.95 1.33008760930415 1.51606116797892 CTX_LH_SUPERIORFRONTAL_SUVR lh_superiorfrontal left lh_superiorfrontal #aad6e7 1 2 1
30 fixed NA convgroup 0.396858600520805 0.0133538636602791 29.7186350420257 1034.96719033793 7.90272001904489e-141 1.25950166463451 0.95 1.16845490623782 1.35030998722692 CTX_LH_SUPERIORPARIETAL_SUVR lh_superiorparietal left lh_superiorparietal #aad6e7 1 2 1
31 fixed NA convgroup 0.362235104744514 0.012603535650597 28.7407529749286 1026.02965768267 9.66465809702599e-134 1.21805817001965 0.95 1.12750238656934 1.30838101720907 CTX_LH_SUPERIORTEMPORAL_SUVR lh_superiortemporal left lh_superiortemporal #aad6e7 1 2 1
32 fixed NA convgroup 0.423703833262595 0.013144787673287 32.2336004044898 1026.35313730936 4.94283681993742e-158 1.3660880894835 0.95 1.27371713880194 1.4582073011309 CTX_LH_SUPRAMARGINAL_SUVR lh_supramarginal left lh_supramarginal #aad6e7 1 2 1
33 fixed NA convgroup 0.242754998007645 0.0118742814108252 20.4437632568096 1013.31882199024 4.77884392025326e-78 0.866424511655174 0.95 0.779460702954835 0.953209607912001 CTX_LH_TEMPORALPOLE_SUVR lh_temporalpole left lh_temporalpole #aad6e7 1 2 1
34 fixed NA convgroup 0.322804973315366 0.0147415302675038 21.8976569906692 1049.6667280482 7.61344900380531e-88 0.928041795740002 0.95 0.840525822258126 1.01536922970446 CTX_LH_TRANSVERSETEMPORAL_SUVR lh_transversetemporal left lh_transversetemporal #aad6e7 1 2 1
35 fixed NA convgroup 0.480386380117314 0.0161456394371724 29.7533202067744 1020.39196090436 1.44288446658095e-140 1.26097165215841 0.95 1.16990722422101 1.35179744945942 CTX_RH_BANKSSTS_SUVR rh_bankssts right rh_bankssts #aad6e7 1 2 1
36 fixed NA convgroup 0.438418279568157 0.0138251780503984 31.7115828794352 1016.95480637619 5.20175332872259e-154 1.3439645316268 0.95 1.25187561237735 1.43580443669698 CTX_RH_CAUDALANTERIORCINGULATE_SUVR rh_caudalanteriorcingulate right rh_caudalanteriorcingulate #aad6e7 1 2 1
37 fixed NA convgroup 0.435497770722455 0.0138190324549858 31.5143460398584 1025.85764054281 5.27607677691316e-153 1.33560546239556 0.95 1.24362211339598 1.42734074313612 CTX_RH_CAUDALMIDDLEFRONTAL_SUVR rh_caudalmiddlefrontal right rh_caudalmiddlefrontal #aad6e7 1 2 1
38 fixed NA convgroup 0.23791108690218 0.0129948219550665 18.3081451769659 1081.88887045698 1.9587577758809e-65 0.775915155394935 0.95 0.689700329605018 0.861967335037355 CTX_RH_CUNEUS_SUVR rh_cuneus right rh_cuneus #aad6e7 1 2 1
39 fixed NA convgroup 0.128267510079739 0.00846172025097952 15.1585618852019 956.638441202717 1.11584858283637e-46 0.642433069381494 0.95 0.557183841124539 0.727544770505896 CTX_RH_ENTORHINAL_SUVR rh_entorhinal right rh_entorhinal #aad6e7 1 2 1
