ROI SUVR plotrois hemi label SUVR_Z_within SUVR_Z_across
CTX_RH_LATERALORBITOFRONTAL_SUVR 1.47726103542234 rh_lateralorbitofrontal right rh_lateralorbitofrontal 0.72555471131286 5.60383519287032
CTX_RH_LINGUAL_SUVR 1.20781319255223 rh_lingual right rh_lingual -1.29192000089864 2.15300596693266
CTX_RH_MEDIALORBITOFRONTAL_SUVR 1.46103667120799 rh_medialorbitofrontal right rh_medialorbitofrontal 0.60407574835104 5.39604911595552
CTX_RH_MIDDLETEMPORAL_SUVR 1.3854560626703 rh_middletemporal right rh_middletemporal 0.0381704331177188 4.42808526039871
CTX_RH_PARACENTRAL_SUVR 1.39977495458674 rh_paracentral right rh_paracentral 0.145382285476958 4.61146787791
CTX_RH_PARAHIPPOCAMPAL_SUVR 1.15531700726612 rh_parahippocampal right rh_parahippocampal -1.68498206877103 1.48068523685783
CTX_RH_PARSOPERCULARIS_SUVR 1.44617338782925 rh_parsopercularis right rh_parsopercularis 0.492787797266908 5.20569445536358
CTX_RH_PARSORBITALIS_SUVR 1.43422792915531 rh_parsorbitalis right rh_parsorbitalis 0.403346885275477 5.05270849166036
CTX_RH_PARSTRIANGULARIS_SUVR 1.46612011807448 rh_parstriangularis right rh_parstriangularis 0.642137754692461 5.46115302188593
CTX_RH_PERICALCARINE_SUVR 1.43891400999092 rh_pericalcarine right rh_pericalcarine 0.43843363707318 5.11272331505015
CTX_RH_POSTCENTRAL_SUVR 1.26087463669391 rh_postcentral right rh_postcentral -0.894625590934177 2.8325659896227
CTX_RH_POSTERIORCINGULATE_SUVR 1.54671702997275 rh_posteriorcingulate right rh_posteriorcingulate 1.24560234325658 6.49336087382614
CTX_RH_PRECENTRAL_SUVR 1.31264884196185 rh_precentral right rh_precentral -0.506969305545903 3.49564029292829
CTX_RH_PRECUNEUS_SUVR 1.5543669164396 rh_precuneus right rh_precuneus 1.30288041360133 6.59133327365578
CTX_RH_ROSTRALANTERIORCINGULATE_SUVR 1.50516846049046 rh_rostralanteriorcingulate right rh_rostralanteriorcingulate 0.934509898179986 5.96124669418323
CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR 1.52138362851953 rh_rostralmiddlefrontal right rh_rostralmiddlefrontal 1.05592000525094 6.16891499518781
CTX_RH_SUPERIORFRONTAL_SUVR 1.41606087647593 rh_superiorfrontal right rh_superiorfrontal 0.267322157871238 4.82004232641152
CTX_RH_SUPERIORPARIETAL_SUVR 1.35375324704814 rh_superiorparietal right rh_superiorparietal -0.199202514990999 4.02206604150965
CTX_RH_SUPERIORTEMPORAL_SUVR 1.30891221616712 rh_superiortemporal right rh_superiortemporal -0.534947069144119 3.44778517795871
CTX_RH_SUPRAMARGINAL_SUVR 1.41195992279746 rh_supramarginal right rh_supramarginal 0.236616510892797 4.76752124976398
CTX_RH_TEMPORALPOLE_SUVR 1.09611332879201 rh_temporalpole right rh_temporalpole -2.12826609331229 0.722461375106712
CTX_RH_TRANSVERSETEMPORAL_SUVR 1.30036609900091 rh_transversetemporal right rh_transversetemporal -0.598935613594042 3.33833471596459
