rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup 0.000214270104571972 0.000189264743580966 1.13211843113458 0.258180922886815 convgroup 0.106149061358928 0.95 -0.0778075221086488 0.289989207140099
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.000392840580905122 0.000233323866121723 1.68367080245525 0.0929311919712939 convgroup 0.157863409342208 0.95 -0.0262779695411267 0.341831868082975
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.000133048745950091 6.07955005531276e-05 2.18846369779986 0.0291435450749624 convgroup 0.205193521234994 0.95 0.0208296146491019 0.389333112201466
lh_cuneus_thickness.aparcnative71 convgroup 0.000304451691094889 0.000287955990175986 1.05728549320617 0.290942322527294 convgroup 0.0991326168762853 0.95 -0.0848036070645947 0.282960054488559
lh_entorhinal_thickness.aparcnative71 convgroup 0.000511224748733201 0.000379525598657187 1.34700992645024 0.178647518897088 convgroup 0.126297598733161 0.95 -0.0577237209837344 0.310180437420496
lh_fusiform_thickness.aparcnative71 convgroup 3.052955236215e-05 0.000131917700214911 0.231428779552807 0.817085746703692 convgroup 0.0216990970603254 0.95 -0.162087265590849 0.205461635815018
lh_inferiorparietal_thickness.aparcnative71 convgroup 3.18211350803992e-05 0.000107245614491041 0.296712692928413 0.766821261012369 convgroup 0.0278202111912147 0.95 -0.155973013648002 0.211582868790262
lh_inferiortemporal_thickness.aparcnative71 convgroup 0.000108038220149962 0.000146259367556606 0.73867555941775 0.460484883678143 convgroup 0.0692592887145159 0.95 -0.11460284898139 0.2530453832973
lh_isthmuscingulate_thickness.aparcnative71 convgroup 0.000416693061898523 0.000301334317814053 1.38282643982042 0.167396345033446 convgroup 0.12965580682415 0.95 -0.0543772032512595 0.313546661532344
lh_lateraloccipital_thickness.aparcnative71 convgroup 5.41384094225593e-05 3.82511234926965e-05 1.41534168095471 0.157652409170773 convgroup 0.132704482856043 0.95 -0.0513393578658038 0.316602856448638
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.000265221911224134 0.000133460040223324 1.98727582263821 0.0474909632961361 convgroup 0.186329855104408 0.95 0.00206074716350527 0.370395093889014
lh_lingual_thickness.aparcnative71 convgroup 0.000118845598194653 9.87382288292283e-05 1.20364320490497 0.22935335029235 convgroup 0.112855327585887 0.95 -0.0711217755637945 0.296708628731146
lh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.000233899949109842 0.000144483902591843 1.61886511171139 0.106169202579662 convgroup 0.151787134056871 0.95 -0.0323293575172966 0.33573732512242
lh_middletemporal_thickness.aparcnative71 convgroup 0.000539613888049331 0.000317605566208805 1.69900639491491 0.090001537583013 convgroup 0.159301296669371 0.95 -0.0248460685820978 0.343274185055783
lh_parahippocampal_thickness.aparcnative71 convgroup -3.59949216874814e-05 0.000309617178024676 -0.116256216522369 0.907500777586767 convgroup -0.0109003509894476 0.95 -0.194664779935317 0.172876054426781
lh_paracentral_thickness.aparcnative71 convgroup 0.000262246618178584 0.000108595019164783 2.41490466317475 0.0161327220392205 convgroup 0.226424953624682 0.95 0.0419446867120156 0.410657969411329
lh_parsopercularis_thickness.aparcnative71 convgroup 0.000222786397388579 0.000120682091700543 1.84606012581713 0.065532828235045 convgroup 0.17308926714606 0.95 -0.011118131418538 0.357107178925116
lh_parsorbitalis_thickness.aparcnative71 convgroup 0.000302079279090576 0.000189125520386584 1.59724228899996 0.110905935186992 convgroup 0.149759746928787 0.95 -0.034348629729407 0.333704037511413
lh_parstriangularis_thickness.aparcnative71 convgroup 0.000130365058153235 6.4743673648752e-05 2.01355670455917 0.0446443699288534 convgroup 0.188793988600405 0.95 0.00451294630893984 0.372868467357527
lh_pericalcarine_thickness.aparcnative71 convgroup 0.000453830164403765 0.000379290689679323 1.19652334410703 0.232115489619567 convgroup 0.112187759140817 0.95 -0.0717872605714293 0.296039715988879
lh_postcentral_thickness.aparcnative71 convgroup -1.80560879003004e-05 8.49475535305449e-05 -0.212555714083136 0.831768708569005 convgroup -0.0199295311478939 0.95 -0.203692202627226 0.163855030298936
lh_posteriorcingulate_thickness.aparcnative71 convgroup -0.000109702199368711 0.000286729060039742 -0.382598817690491 0.702195904227819 convgroup -0.0358730184563643 0.95 -0.219637139112416 0.147930509009211
lh_precentral_thickness.aparcnative71 convgroup -4.91406189429637e-05 2.0318758370924e-05 -2.41848532503263 0.0159768612424827 convgroup -0.226760681658787 0.95 -0.410995262331059 -0.0422784939060493
lh_precuneus_thickness.aparcnative71 convgroup 0.000151383609765553 8.66398662059417e-05 1.7472742790913 0.0812644189298394 convgroup 0.163826963294169 0.95 -0.0203396427381008 0.347814152077424
lh_rostralanteriorcingulate_thickness.aparcnative71 convgroup 0.000264129270544159 0.000260169778625886 1.01521887722389 0.310541038831049 convgroup 0.0951883901255639 0.95 -0.0887368773748155 0.279009193739548
lh_rostralmiddlefrontal_thickness.aparcnative71 convgroup 0.000385330475014279 0.000127532482419986 3.0214300521911 0.00265765572709156 convgroup 0.283293651248412 0.95 0.0984514653443811 0.467827528650994
lh_superiorfrontal_thickness.aparcnative71 convgroup 0.000488446003957359 0.000128717783339652 3.7947049062248 0.000167804987075546 convgroup 0.355797019863194 0.95 0.170387936120103 0.540821002815989
lh_superiorparietal_thickness.aparcnative71 convgroup 6.05399985773075e-05 8.44657953086644e-05 0.716739815875473 0.473902391065022 convgroup 0.0672025616767895 0.95 -0.116655222572643 0.250986557062181
lh_superiortemporal_thickness.aparcnative71 convgroup 0.000564939152683029 0.000325838375533766 1.73380177137694 0.0836306340348375 convgroup 0.162563761487097 0.95 -0.0215974274089699 0.346546940477255
lh_supramarginal_thickness.aparcnative71 convgroup 0.000144693839179293 9.01195473778235e-05 1.60557663003642 0.109060745891178 convgroup 0.150541186797387 0.95 -0.0335703052762097 0.33448774493167
lh_frontalpole_thickness.aparcnative71 convgroup 0.000472945106536432 0.000219848578257313 2.15123113501736 0.0319837741757356 convgroup 0.201702542303233 0.95 0.0173567954678238 0.385827764052453
lh_temporalpole_thickness.aparcnative71 convgroup 0.000305898082035952 0.000358431096070101 0.8534362263483 0.393866495356099 convgroup 0.0800194148113891 0.95 -0.103867057570523 0.263818039414671
lh_transversetemporal_thickness.aparcnative71 convgroup -5.81885373236929e-05 4.18230026059917e-05 -1.39130463376526 0.164812955345818 convgroup -0.130450734549478 0.95 -0.314343522760904 0.0535850755995329
lh_insula_thickness.aparcnative71 convgroup 0.000567617370264569 0.000197227339350364 2.87798523335665 0.00419063198739139 convgroup 0.269844057586362 0.95 0.0850940536946845 0.454300134227528
lh_MeanThickness_thickness.aparcnative71 convgroup 0.000207108974686519 8.00067331344563e-05 2.5886443124538 0.00994391763900856 convgroup 0.24271503440123 0.95 0.058138571662478 0.427026702766912
rh_bankssts_thickness.aparcnative71 convgroup 1.71039314621244e-05 4.04189313203249e-05 0.423166345655546 0.672373837525619 convgroup 0.0396766885466278 0.95 -0.144132226038181 0.223442027753515
rh_caudalanteriorcingulate_thickness.aparcnative71 convgroup -1.90843189245592e-05 0.000456897576218442 -0.0417693590815528 0.966700884103363 convgroup -0.0039163555138197 0.95 -0.187683447401666 0.179855019514094
rh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.000107107734058973 5.10505355593089e-05 2.09807268201014 0.0364496216532319 convgroup 0.196718328872176 0.95 0.0123980226091942 0.380823513253211
rh_cuneus_thickness.aparcnative71 convgroup 8.95389190462284e-05 4.98921903328152e-05 1.79464798897267 0.0733734501197755 convgroup 0.168268790843923 0.95 -0.0159171309030502 0.352270467527723
rh_entorhinal_thickness.aparcnative71 convgroup 0.000156944985936592 0.000429836068674808 0.365127539018437 0.715185865914058 convgroup 0.0342348861013241 0.95 -0.149566437392586 0.217998593385099
rh_fusiform_thickness.aparcnative71 convgroup 1.93178344543726e-05 0.000117727562438634 0.164089309709799 0.86973370238875 convgroup 0.015385250982332 0.95 -0.16839497424902 0.199148579511956
rh_inferiorparietal_thickness.aparcnative71 convgroup 8.29662449632339e-05 9.92263609665475e-05 0.836131086085124 0.403520042792492 convgroup 0.0783968598338328 0.95 -0.105485769417301 0.262193425401511
rh_inferiortemporal_thickness.aparcnative71 convgroup -3.1650236692255e-05 0.000121457369195155 -0.260587207692603 0.794528747425546 convgroup -0.0244330334512728 0.95 -0.208195517444969 0.159356296952367
rh_isthmuscingulate_thickness.aparcnative71 convgroup 0.000511650728871074 0.000269184259209328 1.90074534957557 0.0579670470278938 convgroup 0.178216632810749 0.95 -0.00601418859658706 0.362252397226831
rh_lateraloccipital_thickness.aparcnative71 convgroup 7.65137947504385e-05 7.37492198591111e-05 1.03748615777372 0.300060380197028 convgroup 0.0972762025525833 0.95 -0.0866548244208447 0.281100479877353
rh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.000136807166838408 0.000147666278589487 0.926461803908068 0.354697182522104 convgroup 0.086866398572085 0.95 -0.097036927045695 0.270674375520605
rh_lingual_thickness.aparcnative71 convgroup 2.41124749073168e-05 2.44968711826895e-05 0.984308352176652 0.325487034315304 convgroup 0.0922901745947139 0.95 -0.0916272777368668 0.276106335393539
rh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.000122097331644925 0.000149959284604846 0.814203215003732 0.415954454143467 convgroup 0.0763408709294241 0.95 -0.107536972124084 0.260134911686784
rh_middletemporal_thickness.aparcnative71 convgroup 7.0375715907627e-05 0.000109470202211459 0.64287554499703 0.520628684619247 convgroup 0.0602769408176268 0.95 -0.123566916015265 0.244054611047774
rh_parahippocampal_thickness.aparcnative71 convgroup 0.00032639654909669 0.000389818443379228 0.83730401842265 0.402861273427196 convgroup 0.0785068356660795 0.95 -0.105376051879916 0.262303536859198
rh_paracentral_thickness.aparcnative71 convgroup 0.000320288849454785 0.000120955686199957 2.64798505566165 0.00837858436371481 convgroup 0.248278908302251 0.95 0.0636682105060676 0.432618827136655
rh_parsopercularis_thickness.aparcnative71 convgroup 0.000234605539018414 0.000114523935377795 2.04852844293631 0.0410814829509319 convgroup 0.192072989366344 0.95 0.00777581410976701 0.376159853947975
rh_parsorbitalis_thickness.aparcnative71 convgroup 0.00012435898935051 0.000192327975999657 0.646598544513005 0.518217823746258 convgroup 0.0606260146364006 0.95 -0.123218522100119 0.244403964239448
rh_parstriangularis_thickness.aparcnative71 convgroup 0.000365058760883505 0.000124510809565497 2.93194431999474 0.00353828996079592 convgroup 0.274903339584517 0.95 0.0901191590508725 0.459388204027076
rh_pericalcarine_thickness.aparcnative71 convgroup 0.00097670023972982 0.000392997118169085 2.48526056445431 0.0133039035763304 convgroup 0.233021624676494 0.95 0.048503130316258 0.417285762211142
rh_postcentral_thickness.aparcnative71 convgroup 0.000134965779251783 0.000131956673288355 1.02280374223176 0.30694413348415 convgroup 0.0958995580378403 0.95 -0.0880276881264164 0.279721593517233
rh_posteriorcingulate_thickness.aparcnative71 convgroup -6.37416954189183e-05 0.000263809028923895 -0.241620598350737 0.809183013249976 convgroup -0.0226546967301023 0.95 -0.206417204008548 0.161132673143008
rh_precentral_thickness.aparcnative71 convgroup 0.000140765254973983 6.69634608249439e-05 2.10212036892734 0.0360917567455459 convgroup 0.197097845851247 0.95 0.012775612890319 0.381204534097232
rh_precuneus_thickness.aparcnative71 convgroup 8.0119146958655e-05 9.68109646478329e-05 0.827583396675187 0.408340308366439 convgroup 0.0775954161131937 0.95 -0.106285342548895 0.261390985964082
rh_rostralanteriorcingulate_thickness.aparcnative71 convgroup -3.37230473786603e-06 0.00022584257757999 -0.0149321034766866 0.988092893035724 convgroup -0.0014000556165985 0.95 -0.185168369526027 0.182369792255908
rh_rostralmiddlefrontal_thickness.aparcnative71 convgroup 0.00012205948654763 0.000105298623212628 1.15917457250279 0.246993005380165 convgroup 0.108685884301869 0.95 -0.0752783439434947 0.292530881708916
rh_superiorfrontal_thickness.aparcnative71 convgroup -1.87017225332799e-05 3.47525083746152e-05 -0.538140220892385 0.590743382032449 convgroup -0.0504568053626379 0.95 -0.234227395595633 0.133369174122531
rh_superiorparietal_thickness.aparcnative71 convgroup 0.000230042137679315 0.000126091619643678 1.82440465376994 0.0687465804971827 convgroup 0.171058818769038 0.95 -0.0131394692978045 0.35506982827635
rh_superiortemporal_thickness.aparcnative71 convgroup 0.000231271541242776 0.000206256477060123 1.12128135096267 0.262759547088149 convgroup 0.105132961049557 0.95 -0.0788205990056246 0.288971178188806
rh_supramarginal_thickness.aparcnative71 convgroup 0.000168409648000777 9.1594358891834e-05 1.83864650660043 0.0666187545113474 convgroup 0.172394155486818 0.95 -0.0118101093538627 0.356409691315551
rh_frontalpole_thickness.aparcnative71 convgroup 0.000301011901927379 0.000245818392175803 1.22452961823989 0.221386112152905 convgroup 0.114813667905843 0.95 -0.0691696194088345 0.298671016560654
rh_temporalpole_thickness.aparcnative71 convgroup -0.000457344425379613 0.000938835570713174 -0.487140069727224 0.626393669454358 convgroup -0.0456749574336011 0.95 -0.22944287708771 0.138143127721295
rh_transversetemporal_thickness.aparcnative71 convgroup 0.000156816985777782 0.000110992415270686 1.41286217977453 0.158379919394817 convgroup 0.132472001239565 0.95 -0.0515710085407506 0.316369770998712
rh_insula_thickness.aparcnative71 convgroup 0.000224942555823159 0.000194253792993229 1.15798282420668 0.247478514824656 convgroup 0.108574144258134 0.95 -0.075389761323403 0.292418894513118
rh_MeanThickness_thickness.aparcnative71 convgroup 0.000118329979624348 6.57217375926518e-05 1.80046943307808 0.0724486952124676 convgroup 0.168814617862148 0.95 -0.0153737009423832 0.352818107172764
