rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup 0.00647675820662401 0.0367082270004577 0.176438873131717 0.860035443986848 convgroup 0.017342995064204 0.95 -0.175325037489323 0.209990095730545
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.0617593834906153 0.0582912303349328 1.05949699698831 0.289991238213347 convgroup 0.104142873184131 0.95 -0.0887043329390464 0.296864493121656
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.055633919692031 0.0339717611590383 1.63765191423493 0.102254126762978 convgroup 0.160972401157074 0.95 -0.0320900058849465 0.3538410334168
lh_cuneus_thickness.aparcnative71 convgroup -0.0245854299264609 0.0324038163129233 -0.758720197924826 0.448451678544004 convgroup -0.0745781267708447 0.95 -0.267254009460999 0.118187726392211
lh_entorhinal_thickness.aparcnative71 convgroup 0.0408343983918265 0.067624972212735 0.603836083856263 0.546283341797246 convgroup 0.0593538489337866 0.95 -0.13337830630522 0.252014370961991
lh_fusiform_thickness.aparcnative71 convgroup -0.0393848897274887 0.0307715776702148 -1.2799112918286 0.201293072860269 convgroup -0.1258084163813 0.95 -0.318576921471107 0.0671117107427132
lh_inferiorparietal_thickness.aparcnative71 convgroup -0.00834229144339437 0.0295190088692109 -0.282607437138433 0.777619016441827 convgroup -0.0277787955704085 0.95 -0.220425258941835 0.16490120793371
lh_inferiortemporal_thickness.aparcnative71 convgroup 0.016535810063466 0.0350910355257634 0.471226050064144 0.637727529672681 convgroup 0.0463189937417352 0.95 -0.146388720028052 0.238970804114372
lh_isthmuscingulate_thickness.aparcnative71 convgroup -0.0111328162634067 0.0454153056306938 -0.245133575758271 0.806474467901888 convgroup -0.0240953159526961 0.95 -0.216741697848407 0.168580163313443
lh_lateraloccipital_thickness.aparcnative71 convgroup 0.0125166939774653 0.0292003991782234 0.428648043510301 0.668402315210124 convgroup 0.0421338040247522 0.95 -0.150566934728512 0.234783682559522
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup -0.00093670563258057 0.030435135362463 -0.0307771140632366 0.975462123481609 convgroup -0.00302522526819067 0.95 -0.195677465778362 0.189630655333835
lh_lingual_thickness.aparcnative71 convgroup -0.0404890410211088 0.0320336747365877 -1.26395242987417 0.206958298177014 convgroup -0.124239745831588 0.95 -0.317004487401339 0.068674726383617
lh_medialorbitofrontal_thickness.aparcnative71 convgroup -0.0139562682658763 0.0321839790653748 -0.433640235644173 0.66477558007348 convgroup -0.042624509740565 0.95 -0.235274598658044 0.150077023430303
lh_middletemporal_thickness.aparcnative71 convgroup -0.0205221587252563 0.0336316711899768 -0.610203358891441 0.54206190321371 convgroup -0.0599797179248285 0.95 -0.252640757171744 0.132753712220859
lh_parahippocampal_thickness.aparcnative71 convgroup -0.101612711941551 0.073174816871741 -1.3886295352082 0.165692053418869 convgroup -0.136494836697042 0.95 -0.329290630884781 0.0564653975188172
lh_paracentral_thickness.aparcnative71 convgroup 0.0966651136681642 0.0396484683459931 2.43805417209599 0.0151862990248848 convgroup 0.239647650896961 0.95 0.0461601366999346 0.432847772520647
lh_parsopercularis_thickness.aparcnative71 convgroup 0.0212296024457334 0.0316057045672924 0.671701603757417 0.5021483182764 convgroup 0.0660246656069167 0.95 -0.126721563166112 0.25869122213991
lh_parsorbitalis_thickness.aparcnative71 convgroup 0.0822766247707711 0.0439580533110414 1.87170765248844 0.0619519709250732 convgroup 0.183978825088658 0.95 -0.00919263282208248 0.376929044763921
lh_parstriangularis_thickness.aparcnative71 convgroup 0.0225194483664423 0.0314544213917502 0.715939043544085 0.474432602050312 convgroup 0.0703729687118707 0.95 -0.122383020192954 0.263044046185556
lh_pericalcarine_thickness.aparcnative71 convgroup -0.0119738813311317 0.033027500866519 -0.362542760335523 0.717131479989361 convgroup -0.0356360091824437 0.95 -0.228283728637807 0.157054731493411
lh_postcentral_thickness.aparcnative71 convgroup 0.0194494351375581 0.0303766447966939 0.640275951071296 0.52234740935944 convgroup 0.0629356924699261 0.95 -0.129803881867635 0.255599340136142
lh_posteriorcingulate_thickness.aparcnative71 convgroup 0.0127412797853987 0.038739313171693 0.328897926737349 0.742399150529401 convgroup 0.0323289024622965 0.95 -0.160357133114197 0.224975917869353
lh_precentral_thickness.aparcnative71 convgroup 0.0894638442607731 0.0397393714332999 2.25126470384497 0.0248925280675605 convgroup 0.221287247838251 0.95 0.0279121158113799 0.414396747619695
lh_precuneus_thickness.aparcnative71 convgroup 0.0266075456717182 0.0293760516580326 0.905756361728164 0.365591647911217 convgroup 0.089030993181962 0.95 -0.103772006665232 0.281726620300291
lh_rostralanteriorcingulate_thickness.aparcnative71 convgroup -0.0810346512648322 0.0532373067395317 -1.52214032278721 0.128737340155683 convgroup -0.149618231155995 0.95 -0.342451294521804 0.043394989323824
