rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup -0.00857523714671946 0.0312228749332751 -0.274645981993817 0.784531706015093 convgroup -0.0709132876243222 0.95 -0.576837552575731 0.435600336829726
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.0896807891740204 0.046730595470691 1.91910221281617 0.0597313553303423 convgroup 0.495510060660456 0.95 -0.0202272134089892 1.00724381351649
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.0547981634541256 0.0273965778171513 2.00018278997678 0.0500127606963503 convgroup 0.516444975663384 0.95 -2.86498540151804e-05 1.02875611347267
lh_cuneus_thickness.aparcnative71 convgroup 0.0150021719934518 0.0289005721487457 0.519096020529924 0.605603315765342 convgroup 0.134030016172996 0.95 -0.373152071206694 0.640099942937224
lh_entorhinal_thickness.aparcnative71 convgroup 0.111306816996168 0.0591111281369292 1.88300951960059 0.0645492913109822 convgroup 0.486190967344208 0.95 -0.029226847631864 0.997676338604087
lh_fusiform_thickness.aparcnative71 convgroup 0.00788846436160625 0.0243247306510403 0.32429811761426 0.746840227769256 convgroup 0.0837334139150962 0.95 -0.422895774892741 0.589666864566664
lh_inferiorparietal_thickness.aparcnative71 convgroup -0.01858606333097 0.0238342432228002 -0.779805054317406 0.438570952493551 convgroup -0.201344799243979 0.95 -0.707847439558409 0.306824087535396
lh_inferiortemporal_thickness.aparcnative71 convgroup 0.0035031450028 0.0301768214391902 0.116087276118833 0.90797104795732 convgroup 0.0299736058076549 0.95 -0.476239829870562 0.535937825643459
lh_isthmuscingulate_thickness.aparcnative71 convgroup -0.00178134373982628 0.0395461363362028 -0.0450446972792014 0.964221266270789 convgroup -0.0116304908264868 0.95 -0.517646922625128 0.494482662380856
lh_lateraloccipital_thickness.aparcnative71 convgroup 0.0464205704818126 0.0208537496086388 2.22600593912294 0.0297815582124721 convgroup 0.574752262052129 0.95 0.0560928173296536 1.08881294699872
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.0274017839113653 0.0225197281200978 1.21679017460741 0.228448803806793 convgroup 0.314173872138888 0.95 -0.196277077986925 0.82204262316919
lh_lingual_thickness.aparcnative71 convgroup -0.017964545682449 0.0214285996463015 -0.838344361226124 0.405164776857338 convgroup -0.216459583294378 0.95 -0.723098682715633 0.29196954248102
lh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.017344473753905 0.0284389973030694 0.609883448740051 0.544241965974425 convgroup 0.157471229339851 0.95 -0.35002251505602 0.663659364073961
