rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup -3.40993438041537e-05 0.000106027388849297 -0.321608823665565 0.748866804410613 convgroup -0.0830390412033393 0.95 -0.588971718124964 0.423583594857552
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.000503729837896352 0.00067662624374622 0.744472805410847 0.459496468756636 convgroup 0.192222051804035 0.95 -0.31579661917571 0.698649242913687
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 9.05133801381218e-05 4.54872096834931e-05 1.98986442052453 0.0511688364474448 convgroup 0.513780784126811 0.95 -0.00259769796318522 1.02601695432633
lh_cuneus_thickness.aparcnative71 convgroup 8.07488148950684e-05 0.000215579471565158 0.37456634580655 0.709303631545475 convgroup 0.0967126146239024 0.95 -0.410044121609905 0.602665956998395
lh_entorhinal_thickness.aparcnative71 convgroup 0.00177216282394736 0.00116750926188332 1.51790044139664 0.134291309866674 convgroup 0.391920208715339 0.95 -0.120555486795953 0.901195381077251
lh_fusiform_thickness.aparcnative71 convgroup 5.16011095069115e-05 0.000164418176476057 0.313840662953866 0.754730620983516 convgroup 0.0810333107322012 0.95 -0.425570659570912 0.586963947453984
lh_inferiorparietal_thickness.aparcnative71 convgroup -8.80218874575006e-05 9.59162701343225e-05 -0.917695061893394 0.362452809789125 convgroup -0.236947846107327 0.95 -0.743794972252242 0.271856549416098
lh_inferiortemporal_thickness.aparcnative71 convgroup 3.38114730679036e-05 0.000206983888031853 0.163353164294123 0.870789358279951 convgroup 0.0421776056574282 0.95 -0.464114293439761 0.548118831855666
lh_isthmuscingulate_thickness.aparcnative71 convgroup -0.000156942602600646 0.000139744913780392 -1.12306486407999 0.26588371630026 convgroup -0.2899741010195 0.95 -0.797482370880089 0.219921558377952
lh_lateraloccipital_thickness.aparcnative71 convgroup 0.000151835149930132 6.84571427897468e-05 2.21795920400103 0.0303547668521742 convgroup 0.572674603977563 0.95 0.0540964396983461 1.08666939419865
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.000243469369313014 0.000204195167161624 1.1923365900247 0.237823651163324 convgroup 0.307859983749293 0.95 -0.20244262873188 0.815631133231127
lh_lingual_thickness.aparcnative71 convgroup -1.64965873200329e-05 2.03397978907275e-05 -0.811049716848628 0.420542778326111 convgroup -0.209412136420065 0.95 -0.715985822464143 0.298893934757547
