rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup 0.000128465608296833 0.000197688279972008 0.649839273805323 0.51706989766731 convgroup 0.120155324231558 0.95 -0.242824330223491 0.482622916005174
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.00109137412732015 0.000785242264309798 1.38985657920417 0.167211264902778 convgroup 0.25698457240316 0.95 -0.107446691682445 0.620327916279297
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.000367705457616977 0.000117096007005829 3.140204922604 0.00213789268453107 convgroup 0.580624095585289 0.95 0.209493950987781 0.949370833470866
lh_cuneus_thickness.aparcnative71 convgroup 1.01028269546994e-05 1.16687855915575e-05 0.865799347792364 0.388372116231552 convgroup 0.160086356037366 0.95 -0.203230515524747 0.522721919055066
lh_entorhinal_thickness.aparcnative71 convgroup 0.000717275441665322 0.0008534295135778 0.840462428652503 0.402363447203774 convgroup 0.155401558031159 0.95 -0.20787206365928 0.518013673627356
lh_fusiform_thickness.aparcnative71 convgroup 0.000160738207301628 0.000113176138208295 1.42024820643551 0.158194733464081 convgroup 0.262603986266103 0.95 -0.101904685017557 0.626000748982915
lh_inferiorparietal_thickness.aparcnative71 convgroup 0.000202193958929737 0.000166593409598899 1.21369722497758 0.227307739159299 convgroup 0.22441269628436 0.95 -0.139597360141939 0.587470442042675
lh_inferiortemporal_thickness.aparcnative71 convgroup 0.000281382620536769 0.000147111191468787 1.91272069600817 0.0582282446098282 convgroup 0.353662181799929 0.95 -0.0122950896729268 0.718131772020135
lh_isthmuscingulate_thickness.aparcnative71 convgroup 5.6711853852024e-05 5.81624947074104e-05 0.975058826780317 0.331542762968229 convgroup 0.180288440848728 0.95 -0.183226235834053 0.543036458934219
lh_lateraloccipital_thickness.aparcnative71 convgroup 0.000109632114254685 5.55880686657415e-05 1.97222384022582 0.0509432980803016 convgroup 0.364664317057778 0.95 -0.00149257019884715 0.729288688458392
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.000351891144173509 0.000128461849968277 2.73926573734075 0.00712204987063255 convgroup 0.506490414005321 0.95 0.13729148761593 0.873591013837961
lh_lingual_thickness.aparcnative71 convgroup 5.97769114992329e-05 5.33932980251631e-05 1.11955832867004 0.26519510191954 convgroup 0.20700640819962 0.95 -0.156797877102238 0.569931471435882
lh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.000448591078686331 0.000205517164631927 2.18274264093581 0.0310523130680432 convgroup 0.403589257078756 0.95 0.0366838083498427 0.768804482225333
lh_middletemporal_thickness.aparcnative71 convgroup 0.000145974025341109 0.00010370247594142 1.40762333797669 0.161893919273419 convgroup 0.260269647262294 0.95 -0.104206710285725 0.62364379382511
lh_parahippocampal_thickness.aparcnative71 convgroup -0.000736492803184558 0.00074899701594214 -0.98330539042021 0.327486173684053 convgroup -0.181813231005139 0.95 -0.544570478162455 0.181717129651781
lh_paracentral_thickness.aparcnative71 convgroup 0.000637000788309424 0.000210749634224472 3.0225475391855 0.00308013312650183 convgroup 0.558869237695427 0.95 0.188329791890349 0.927108153589365
lh_parsopercularis_thickness.aparcnative71 convgroup 0.000333624691571638 0.000122980785584392 2.71281964890929 0.00767867513541959 convgroup 0.501600530524546 0.95 0.132520834171406 0.868601000161475
lh_parsorbitalis_thickness.aparcnative71 convgroup 0.000209410554508167 0.000276789337640147 0.756570163769894 0.450828183206509 convgroup 0.139889872767105 0.95 -0.223247455224029 0.502431478628861
lh_parstriangularis_thickness.aparcnative71 convgroup 0.000212561038701395 0.000100580853732107 2.11333500178416 0.0366970002246798 convgroup 0.390755780059773 0.95 0.0241044074648826 0.755768764016975
lh_pericalcarine_thickness.aparcnative71 convgroup 1.93856481915461e-05 5.35553582268926e-05 0.361974017789533 0.718024384688278 convgroup 0.0669290195654296 0.95 -0.295712464156854 0.429284929628185
lh_postcentral_thickness.aparcnative71 convgroup -2.08278256723271e-06 6.96882323852488e-05 -0.0298871487472766 0.976207976801353 convgroup -0.00552613575824231 0.95 -0.367912503652514 0.356883807979634
lh_posteriorcingulate_thickness.aparcnative71 convgroup -2.42661976213351e-05 0.000351485059096133 -0.0690390586835674 0.94507638445237 convgroup -0.0127653264663267 0.95 -0.375139238752966 0.349663062089441
lh_precentral_thickness.aparcnative71 convgroup 0.000264703872643887 0.000116614543978644 2.26990445284735 0.0250443962926804 convgroup 0.419705481802315 0.95 0.0524708788589272 0.785185098695482
lh_precuneus_thickness.aparcnative71 convgroup 0.000437494623261375 0.000169214660993609 2.58544159644594 0.0109529197939291 convgroup 0.478048320292477 0.95 0.109528631650569 0.844581143166875
lh_rostralanteriorcingulate_thickness.aparcnative71 convgroup 0.000562474663854222 0.00030148135493084 1.86570298512575 0.0645875496007999 convgroup 0.344968603982416 0.95 -0.0208346376261799 0.709319735914226
lh_rostralmiddlefrontal_thickness.aparcnative71 convgroup 0.000507102120108578 0.000144368612168602 3.51255104895208 0.000631663572121393 convgroup 0.649470918701618 0.95 0.276341914624804 1.01995939267684
