rois term estimate std.error statistic p.value term.1 d CI CI_low CI_high
lh_bankssts_thickness.aparcnative71 convgroup 2.93283140151761e-05 6.23363932743634e-05 0.470484615401027 0.639172859731897 convgroup 0.100307657037793 0.95 -0.318104216546499 0.5181511221623
lh_caudalanteriorcingulate_thickness.aparcnative71 convgroup 0.00117241604151228 0.000716961226937482 1.63525724608607 0.10556732869015 convgroup 0.348638016291253 0.95 -0.0733561131883992 0.76868227110769
lh_caudalmiddlefrontal_thickness.aparcnative71 convgroup 0.000267765570555677 8.93087118437845e-05 2.99820213535319 0.00352997473947773 convgroup 0.639218843036221 0.95 0.209114979473907 1.06586366022423
lh_cuneus_thickness.aparcnative71 convgroup 0.000154192702881122 0.000289143178616854 0.533274565281873 0.595187826605735 convgroup 0.113694519332322 0.95 -0.304829733809653 0.531574725188244
lh_entorhinal_thickness.aparcnative71 convgroup 0.00206482561837087 0.0012258440106641 1.68441139362606 0.0956459889968445 convgroup 0.359117715758628 0.95 -0.0630964991266185 0.779325200724635
lh_fusiform_thickness.aparcnative71 convgroup 2.70043760984817e-07 7.42067424069136e-05 0.00363907311149745 0.997104683079526 convgroup 0.000775852994241697 0.95 -0.417092106458947 0.418639386834612
lh_inferiorparietal_thickness.aparcnative71 convgroup 0.000123284777775589 0.000117459968159027 1.04958974285328 0.2967807448273 convgroup 0.223773285055821 0.95 -0.19602550061681 0.642309997962927
lh_inferiortemporal_thickness.aparcnative71 convgroup 0.000161243588408272 0.000265494551428632 0.607332947288812 0.545193954484411 convgroup 0.129483819428339 0.95 -0.289184922061205 0.547419387337992
lh_isthmuscingulate_thickness.aparcnative71 convgroup 0.00011073956617992 0.000154658154179715 0.716027982923155 0.475869862535943 convgroup 0.152657678889879 0.95 -0.266246381342193 0.570697971637011
lh_lateraloccipital_thickness.aparcnative71 convgroup 0.000251334415636441 0.000134421828546517 1.86974406131863 0.0648445656029088 convgroup 0.39863077327478 0.95 -0.0244627830264914 0.819504562909289
lh_lateralorbitofrontal_thickness.aparcnative71 convgroup 0.000267506742845593 0.000145594104007116 1.83734598780537 0.0695339005630564 convgroup 0.391723480793212 0.95 -0.0312107397495261 0.812474996170929
lh_lingual_thickness.aparcnative71 convgroup 2.03862859513035e-05 6.1224482057445e-05 0.332976045957819 0.739944350763678 convgroup 0.0709907315274657 0.95 -0.347207482029725 0.488786415939567
lh_medialorbitofrontal_thickness.aparcnative71 convgroup 0.000273720138825792 0.000200576634494853 1.364666126317 0.175837396319725 convgroup 0.290947795717021 0.95 -0.129933735336827 0.710194937900889
lh_middletemporal_thickness.aparcnative71 convgroup 0.000198447352286127 0.000159550989741898 1.24378640713637 0.216881263079557 convgroup 0.265176152994846 0.95 -0.155262843382486 0.684123091191817
lh_parahippocampal_thickness.aparcnative71 convgroup 0.000931568148210005 0.000764180918168411 1.21904136319288 0.22608613223082 convgroup 0.259900491899841 0.95 -0.160452055823893 0.678790193205288
lh_paracentral_thickness.aparcnative71 convgroup 0.000533603624377107 0.000151033665049761 3.5330111614606 0.000656960891795983 convgroup 0.753240510515767 0.95 0.31884957493989 1.18362711477064
lh_parsopercularis_thickness.aparcnative71 convgroup 0.000177885141793231 0.000141195461161556 1.25985028364117 0.211054324281987 convgroup 0.268600982973116 0.95 -0.151894865866749 0.687585864657539
lh_parsorbitalis_thickness.aparcnative71 convgroup 0.000419774481618343 0.000312396546800831 1.34372318105671 0.182492435548864 convgroup 0.28648274478493 0.95 -0.134319721392782 0.705675520107348
lh_parstriangularis_thickness.aparcnative71 convgroup 0.000245109182286393 0.000120353438686097 2.03657813987086 0.0446979594492658 convgroup 0.434199918334645 0.95 0.0102482482208792 0.855742057557889
lh_pericalcarine_thickness.aparcnative71 convgroup -4.82983795525334e-05 3.58856698592541e-05 -1.34589600088176 0.181793269988521 convgroup -0.286945991528143 0.95 -0.706144367921496 0.133864628152812
lh_postcentral_thickness.aparcnative71 convgroup 9.21252205573288e-05 7.11544495005398e-05 1.29472185090308 0.198803081835623 convgroup 0.276035626093799 0.95 -0.144585742325323 0.695104915367722
lh_posteriorcingulate_thickness.aparcnative71 convgroup 0.000160044943574224 7.07870133321863e-05 2.2609365198553 0.0262290625975598 convgroup 0.48203328566771 0.95 0.0568290117882233 0.904576131112234
lh_precentral_thickness.aparcnative71 convgroup 4.16269234693488e-05 2.12291882826888e-05 1.96083443771108 0.0530608512354489 convgroup 0.418051306774754 0.95 -0.00550299489313694 0.839281985776009
lh_precuneus_thickness.aparcnative71 convgroup 0.000199869147888384 9.51747959729155e-05 2.10002181612517 0.0385891132719412 convgroup 0.447726155560295 0.95 0.0234317127425955 0.869539415706454
lh_rostralanteriorcingulate_thickness.aparcnative71 convgroup 0.000307338303375986 0.000336103471997927 0.914415734979023 0.362997176996928 convgroup 0.19495408974437 0.95 -0.224450817608404 0.613257898140625
lh_rostralmiddlefrontal_thickness.aparcnative71 convgroup 0.000629713642790647 0.000180941775208961 3.4802004239398 0.000781752854999117 convgroup 0.741981223445065 0.95 0.308040397449002 1.17197017956431
lh_superiorfrontal_thickness.aparcnative71 convgroup -0.000449435500044124 0.000259319427383256 -1.73313470795186 0.0865745021454905 convgroup -0.369505561276109 0.95 -0.789880428686605 0.0529322809501744
lh_superiorparietal_thickness.aparcnative71 convgroup 0.000178415596038064 0.000125418882944504 1.42255768708297 0.158399576597689 convgroup 0.30329031794327 0.95 -0.11781513830129 0.722693614682355
lh_superiortemporal_thickness.aparcnative71 convgroup 0.000403222566026396 0.000435259724441413 0.926395306948899 0.356774300837536 convgroup 0.197508143069981 0.95 -0.221929944208662 0.615830819342482
lh_supramarginal_thickness.aparcnative71 convgroup 0.000276326627095883 0.000137864342598087 2.00433717586753 0.0481084748060772 convgroup 0.427326121713138 0.95 0.00354520631414946 0.848734005705769
lh_frontalpole_thickness.aparcnative71 convgroup 0.000356237220888603 0.000308847889057732 1.15343906664038 0.251853445409815 convgroup 0.245914035280276 0.95 -0.174216220922181 0.66465902214237
lh_temporalpole_thickness.aparcnative71 convgroup 0.000318889367272068 0.000566911958057225 0.562502453405434 0.57520390214023 convgroup 0.119925926017827 0.95 -0.298653794007484 0.537826399519622
