yearsBeforePredABpos CTX_LH_BANKSSTS_SUVR CTX_LH_CAUDALANTERIORCINGULATE_SUVR CTX_LH_CAUDALMIDDLEFRONTAL_SUVR CTX_LH_CUNEUS_SUVR CTX_LH_ENTORHINAL_SUVR CTX_LH_FRONTALPOLE_SUVR CTX_LH_FUSIFORM_SUVR CTX_LH_INFERIORPARIETAL_SUVR CTX_LH_INFERIORTEMPORAL_SUVR CTX_LH_INSULA_SUVR CTX_LH_ISTHMUSCINGULATE_SUVR CTX_LH_LATERALOCCIPITAL_SUVR CTX_LH_LATERALORBITOFRONTAL_SUVR CTX_LH_LINGUAL_SUVR CTX_LH_MEDIALORBITOFRONTAL_SUVR CTX_LH_MIDDLETEMPORAL_SUVR CTX_LH_PARACENTRAL_SUVR CTX_LH_PARAHIPPOCAMPAL_SUVR CTX_LH_PARSOPERCULARIS_SUVR CTX_LH_PARSORBITALIS_SUVR CTX_LH_PARSTRIANGULARIS_SUVR CTX_LH_PERICALCARINE_SUVR CTX_LH_POSTCENTRAL_SUVR CTX_LH_POSTERIORCINGULATE_SUVR CTX_LH_PRECENTRAL_SUVR CTX_LH_PRECUNEUS_SUVR CTX_LH_ROSTRALANTERIORCINGULATE_SUVR CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR CTX_LH_SUPERIORFRONTAL_SUVR CTX_LH_SUPERIORPARIETAL_SUVR CTX_LH_SUPERIORTEMPORAL_SUVR CTX_LH_SUPRAMARGINAL_SUVR CTX_LH_TEMPORALPOLE_SUVR CTX_LH_TRANSVERSETEMPORAL_SUVR CTX_RH_BANKSSTS_SUVR CTX_RH_CAUDALANTERIORCINGULATE_SUVR CTX_RH_CAUDALMIDDLEFRONTAL_SUVR CTX_RH_CUNEUS_SUVR CTX_RH_ENTORHINAL_SUVR CTX_RH_FRONTALPOLE_SUVR CTX_RH_FUSIFORM_SUVR CTX_RH_INFERIORPARIETAL_SUVR CTX_RH_INFERIORTEMPORAL_SUVR CTX_RH_INSULA_SUVR CTX_RH_ISTHMUSCINGULATE_SUVR CTX_RH_LATERALOCCIPITAL_SUVR CTX_RH_LATERALORBITOFRONTAL_SUVR CTX_RH_LINGUAL_SUVR CTX_RH_MEDIALORBITOFRONTAL_SUVR CTX_RH_MIDDLETEMPORAL_SUVR CTX_RH_PARACENTRAL_SUVR CTX_RH_PARAHIPPOCAMPAL_SUVR CTX_RH_PARSOPERCULARIS_SUVR CTX_RH_PARSORBITALIS_SUVR CTX_RH_PARSTRIANGULARIS_SUVR CTX_RH_PERICALCARINE_SUVR CTX_RH_POSTCENTRAL_SUVR CTX_RH_POSTERIORCINGULATE_SUVR CTX_RH_PRECENTRAL_SUVR CTX_RH_PRECUNEUS_SUVR CTX_RH_ROSTRALANTERIORCINGULATE_SUVR CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR CTX_RH_SUPERIORFRONTAL_SUVR CTX_RH_SUPERIORPARIETAL_SUVR CTX_RH_SUPERIORTEMPORAL_SUVR CTX_RH_SUPRAMARGINAL_SUVR CTX_RH_TEMPORALPOLE_SUVR CTX_RH_TRANSVERSETEMPORAL_SUVR
0 1.29270669337923 1.22186817226632 1.15113018717024 1.11731113205123 0.919230606431386 0.934765042199842 1.12216918484988 1.157728861995 1.11284948718076 1.06894591870557 1.22863973520614 1.1236881121391 1.17451031249497 1.05863538725151 1.10281780496337 1.06181364910928 1.1485995489452 0.988860242632324 1.13245298289553 1.08882728838067 1.15711752529844 1.24522419171697 1.04367578941253 1.23375203541304 1.1092528192432 1.21273909246969 1.16527677614989 1.13077674270036 1.08242902183699 1.10579847277949 1.0381161085637 1.13817852187768 0.93586874653304 1.08229475304057 1.29326231359147 1.1901474620024 1.12640133693975 1.08622205947554 0.912192282983909 0.975877851116675 1.08913749685158 1.13357372365725 1.0806236077592 1.05793197546467 1.21770649202506 1.10314153969992 1.17301380674319 1.03261475376854 1.12101079914201 1.06148422221614 1.14928365200595 0.991633275796116 1.14824997156726 1.1097725274052 1.14948054018834 1.197769050698 1.03558186352111 1.21881086506072 1.10525902854721 1.20241231010483 1.17475528826797 1.13912168215905 1.08492132390111 1.07969877618798 1.0212997540545 1.11395729551599 0.924255137471303 1.03789895747724
0.01 1.29243163404483 1.22158220606866 1.15088349775805 1.11719993872682 0.919132380605511 0.934461857267001 1.12198269019177 1.1574528930625 1.11259819005254 1.06875116873501 1.22835328493445 1.12352195682227 1.17423411512666 1.05852355388107 1.10250294723825 1.06157350465548 1.14840190588152 0.988706753591552 1.13218611807121 1.08855691228563 1.15683633487989 1.24510377869239 1.04352846102154 1.23343300426645 1.10910910003831 1.21239898229565 1.16497999688718 1.13047325337586 1.08216630242115 1.10554918010163 1.03793966291948 1.13792997517199 0.935767838450455 1.08215768320327 1.29297843199109 1.18986072315859 1.12616590435846 1.08613319514666 0.912100824509874 0.975553748505736 1.08897097910004 1.13331089931181 1.08040331238846 1.05775432584572 1.2174255316897 1.10298327888077 1.17273709136812 1.03251459065679 1.12067101276858 1.06125412921464 1.14906468653492 0.99149465035677 1.14799191404786 1.10948734152806 1.1491884501658 1.19764231316179 1.03544437264061 1.21847738941645 1.10512703373954 1.20206711570553 1.17444749298617 1.1388083219656 1.08464574507821 1.07946543167388 1.02112353673309 1.11372335135155 0.924150856807337 1.03780434821605
0.02 1.29215657471042 1.22129623987101 1.15063680834585 1.11708874540242 0.919034154779636 0.934158672334161 1.12179619553366 1.15717692412999 1.11234689292432 1.06855641876445 1.22806683466276 1.12335580150545 1.17395791775835 1.05841172051064 1.10218808951312 1.06133336020169 1.14820426281784 0.988553264550781 1.1319192532469 1.08828653619059 1.15655514446134 1.24498336566781 1.04338113263054 1.23311397311986 1.10896538083342 1.21205887212161 1.16468321762446 1.13016976405136 1.0819035830053 1.10529988742376 1.03776321727526 1.13768142846629 0.935666930367871 1.08202061336596 1.2926945503907 1.18957398431478 1.12593047177717 1.08604433081778 0.912009366035839 0.975229645894797 1.08880446134849 1.13304807496637 1.08018301701773 1.05757667622676 1.21714457135433 1.10282501806161 1.17246037599305 1.03241442754504 1.12033122639516 1.06102403621315 1.1488457210639 0.991356024917424 1.14773385652847 1.10920215565091 1.14889636014327 1.19751557562559 1.03530688176011 1.21814391377218 1.10499503893188 1.20172192130623 1.17413969770436 1.13849496177214 1.08437016625531 1.07923208715978 1.02094731941169 1.11348940718711 0.92404657614337 1.03770973895486
0.03 1.29188151537602 1.22101027367335 1.15039011893365 1.11697755207802 0.918935928953761 0.933855487401321 1.12160970087554 1.15690095519749 1.1120955957961 1.06836166879389 1.22778038439106 1.12318964618862 1.17368172039004 1.05829988714021 1.101873231788 1.06109321574789 1.14800661975417 0.98839977551001 1.13165238842258 1.08801616009554 1.15627395404279 1.24486295264324 1.04323380423955 1.23279494197327 1.10882166162853 1.21171876194758 1.16438643836175 1.12986627472686 1.08164086358946 1.10505059474589 1.03758677163104 1.1374328817606 0.935566022285286 1.08188354352866 1.29241066879032 1.18928724547096 1.12569503919588 1.08595546648889 0.911917907561804 0.974905543283859 1.08863794359695 1.13278525062093 1.07996272164699 1.05739902660781 1.21686361101897 1.10266675724246 1.17218366061798 1.03231426443329 1.11999144002173 1.06079394321165 1.14862675559287 0.991217399478078 1.14747579900907 1.10891696977377 1.14860427012074 1.19738883808939 1.03516939087961 1.2178104381279 1.10486304412422 1.20137672690693 1.17383190242256 1.13818160157869 1.08409458743242 1.07899874264569 1.02077110209028 1.11325546302267 0.923942295479404 1.03761512969367
0.04 1.29160645604161 1.2207243074757 1.15014342952146 1.11686635875362 0.918837703127886 0.933552302468481 1.12142320621743 1.15662498626498 1.11184429866789 1.06816691882333 1.22749393411937 1.12302349087179 1.17340552302173 1.05818805376978 1.10155837406288 1.0608530712941 1.14780897669049 0.988246286469238 1.13138552359827 1.0877457840005 1.15599276362424 1.24474253961866 1.04308647584856 1.23247591082668 1.10867794242363 1.21137865177354 1.16408965909903 1.12956278540235 1.08137814417361 1.10480130206802 1.03741032598682 1.13718433505491 0.935465114202701 1.08174647369135 1.29212678718994 1.18900050662715 1.12545960661458 1.08586660216001 0.911826449087769 0.97458144067292 1.08847142584541 1.13252242627549 1.07974242627625 1.05722137698886 1.21658265068361 1.1025084964233 1.17190694524291 1.03221410132154 1.1196516536483 1.06056385021015 1.14840779012184 0.991078774038732 1.14721774148967 1.10863178389662 1.14831218009821 1.19726210055319 1.03503189999911 1.21747696248363 1.10473104931656 1.20103153250764 1.17352410714075 1.13786824138523 1.08381900860952 1.07876539813159 1.02059488476887 1.11302151885823 0.923838014815438 1.03752052043248
0.05 1.29133139670721 1.22043834127804 1.14989674010926 1.11675516542922 0.918739477302011 0.933249117535641 1.12123671155932 1.15634901733247 1.11159300153967 1.06797216885277 1.22720748384768 1.12285733555496 1.17312932565342 1.05807622039934 1.10124351633776 1.0606129268403 1.14761133362681 0.988092797428467 1.13111865877395 1.08747540790545 1.15571157320568 1.24462212659408 1.04293914745757 1.23215687968009 1.10853422321874 1.21103854159951 1.16379287983631 1.12925929607785 1.08111542475777 1.10455200939015 1.0372338803426 1.13693578834921 0.935364206120116 1.08160940385405 1.29184290558955 1.18871376778333 1.12522417403329 1.08577773783113 0.911734990613734 0.974257338061981 1.08830490809387 1.13225960193005 1.07952213090551 1.05704372736991 1.21630169034824 1.10235023560415 1.17163022986784 1.03211393820978 1.11931186727488 1.06033375720865 1.14818882465082 0.990940148599386 1.14695968397028 1.10834659801948 1.14802009007567 1.19713536301698 1.03489440911862 1.21714348683935 1.1045990545089 1.20068633810834 1.17321631185895 1.13755488119178 1.08354342978662 1.07853205361749 1.02041866744746 1.1127875746938 0.923733734151471 1.03742591117129
0.06 1.2910563373728 1.22015237508039 1.14965005069706 1.11664397210482 0.918641251476136 0.9329459326028 1.1210502169012 1.15607304839997 1.11134170441145 1.06777741888221 1.22692103357598 1.12269118023813 1.17285312828511 1.05796438702891 1.10092865861263 1.06037278238651 1.14741369056313 0.987939308387696 1.13085179394963 1.08720503181041 1.15543038278713 1.2445017135695 1.04279181906658 1.2318378485335 1.10839050401385 1.21069843142547 1.1634961005736 1.12895580675335 1.08085270534192 1.10430271671228 1.03705743469838 1.13668724164352 0.935263298037531 1.08147233401674 1.29155902398917 1.18842702893952 1.124988741452 1.08568887350225 0.911643532139699 0.973933235451042 1.08813839034233 1.13199677758461 1.07930183553478 1.05686607775095 1.21602073001288 1.10219197478499 1.17135351449277 1.03201377509803 1.11897208090145 1.06010366420715 1.14796985917979 0.99080152316004 1.14670162645088 1.10806141214233 1.14772800005314 1.19700862548078 1.03475691823812 1.21681001119508 1.10446705970124 1.20034114370904 1.17290851657714 1.13724152099833 1.08326785096373 1.07829870910339 1.02024245012605 1.11255363052936 0.923629453487505 1.0373313019101
0.07 1.2907812780384 1.21986640888273 1.14940336128487 1.11653277878042 0.918543025650261 0.93264274766996 1.12086372224309 1.15579707946746 1.11109040728323 1.06758266891165 1.22663458330429 1.1225250249213 1.1725769309168 1.05785255365848 1.10061380088751 1.06013263793271 1.14721604749946 0.987785819346924 1.13058492912532 1.08693465571536 1.15514919236858 1.24438130054492 1.04264449067559 1.23151881738691 1.10824678480896 1.21035832125143 1.16319932131088 1.12865231742885 1.08058998592608 1.10405342403441 1.03688098905416 1.13643869493782 0.935162389954947 1.08133526417943 1.29127514238879 1.1881402900957 1.12475330887071 1.08560000917337 0.911552073665664 0.973609132840103 1.08797187259078 1.13173395323917 1.07908154016404 1.056688428132 1.21573976967751 1.10203371396584 1.1710767991177 1.03191361198628 1.11863229452803 1.05987357120565 1.14775089370877 0.990662897720693 1.14644356893148 1.10777622626519 1.14743591003061 1.19688188794458 1.03461942735762 1.21647653555081 1.10433506489358 1.19999594930974 1.17260072129534 1.13692816080487 1.08299227214083 1.0780653645893 1.02006623280464 1.11231968636492 0.923525172823539 1.03723669264891
0.08 1.290506218704 1.21958044268508 1.14915667187267 1.11642158545601 0.918444799824386 0.93233956273712 1.12067722758498 1.15552111053496 1.11083911015501 1.06738791894109 1.2263481330326 1.12235886960447 1.17230073354849 1.05774072028804 1.10029894316239 1.05989249347892 1.14701840443578 0.987632330306153 1.130318064301 1.08666427962032 1.15486800195003 1.24426088752034 1.0424971622846 1.23119978624032 1.10810306560406 1.2100182110774 1.16290254204817 1.12834882810435 1.08032726651023 1.10380413135654 1.03670454340994 1.13619014823213 0.935061481872362 1.08119819434213 1.2909912607884 1.18785355125189 1.12451787628942 1.08551114484449 0.911460615191629 0.973285030229164 1.08780535483924 1.13147112889373 1.0788612447933 1.05651077851305 1.21545880934215 1.10187545314669 1.17080008374263 1.03181344887453 1.1182925081546 1.05964347820416 1.14753192823774 0.990524272281348 1.14618551141209 1.10749104038804 1.14714382000807 1.19675515040838 1.03448193647712 1.21614305990653 1.10420307008592 1.19965075491044 1.17229292601353 1.13661480061142 1.08271669331793 1.0778320200752 1.01989001548323 1.11208574220048 0.923420892159572 1.03714208338771
0.09 1.29023115936959 1.21929447648743 1.14890998246047 1.11631039213161 0.91834657399851 0.93203637780428 1.12049073292686 1.15524514160245 1.11058781302679 1.06719316897053 1.22606168276091 1.12219271428764 1.17202453618018 1.05762888691761 1.09998408543727 1.05965234902512 1.1468207613721 0.987478841265381 1.13005119947669 1.08639390352528 1.15458681153148 1.24414047449576 1.0423498338936 1.23088075509373 1.10795934639917 1.20967810090336 1.16260576278545 1.12804533877984 1.08006454709439 1.10355483867867 1.03652809776572 1.13594160152643 0.934960573789777 1.08106112450482 1.29070737918802 1.18756681240807 1.12428244370812 1.0854222805156 0.911369156717593 0.972960927618225 1.0876388370877 1.1312083045483 1.07864094942256 1.0563331288941 1.21517784900678 1.10171719232753 1.17052336836756 1.03171328576278 1.11795272178118 1.05941338520266 1.14731296276671 0.990385646842001 1.14592745389269 1.1072058545109 1.14685172998554 1.19662841287217 1.03434444559662 1.21580958426226 1.10407107527826 1.19930556051115 1.17198513073173 1.13630144041796 1.08244111449503 1.0775986755611 1.01971379816183 1.11185179803604 0.923316611495606 1.03704747412652
