ROI SUVR plotrois hemi label SUVR_above_reference predictedYearsBeforepredAB
CTX_RH_PARAHIPPOCAMPAL_SUVR 0.977770731861515 rh_parahippocampal right rh_parahippocampal NA 1
CTX_RH_PARSOPERCULARIS_SUVR 1.12244421962757 rh_parsopercularis right rh_parsopercularis 1.12244421962757 1
CTX_RH_PARSORBITALIS_SUVR 1.08125393969069 rh_parsorbitalis right rh_parsorbitalis 1.08125393969069 1
CTX_RH_PARSTRIANGULARIS_SUVR 1.12027153793504 rh_parstriangularis right rh_parstriangularis 1.12027153793504 1
CTX_RH_PERICALCARINE_SUVR 1.18509529707773 rh_pericalcarine right rh_pericalcarine 1.18509529707773 1
CTX_RH_POSTCENTRAL_SUVR 1.0218327754713 rh_postcentral right rh_postcentral 1.0218327754713 1
CTX_RH_POSTERIORCINGULATE_SUVR 1.18546330063335 rh_posteriorcingulate right rh_posteriorcingulate 1.18546330063335 1
CTX_RH_PRECENTRAL_SUVR 1.09205954778113 rh_precentral right rh_precentral 1.09205954778113 1
CTX_RH_PRECUNEUS_SUVR 1.16789287017502 rh_precuneus right rh_precuneus 1.16789287017502 1
CTX_RH_ROSTRALANTERIORCINGULATE_SUVR 1.14397576008748 rh_rostralanteriorcingulate right rh_rostralanteriorcingulate 1.14397576008748 1
CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR 1.10778566281367 rh_rostralmiddlefrontal right rh_rostralmiddlefrontal 1.10778566281367 1
CTX_RH_SUPERIORFRONTAL_SUVR 1.0573634416114 rh_superiorfrontal right rh_superiorfrontal 1.0573634416114 1
CTX_RH_SUPERIORPARIETAL_SUVR 1.05636432477822 rh_superiorparietal right rh_superiorparietal 1.05636432477822 1
CTX_RH_SUPERIORTEMPORAL_SUVR 1.00367802191366 rh_superiortemporal right rh_superiortemporal 1.00367802191366 1
CTX_RH_SUPRAMARGINAL_SUVR 1.09056287907205 rh_supramarginal right rh_supramarginal 1.09056287907205 1
CTX_RH_TEMPORALPOLE_SUVR 0.913827071074669 rh_temporalpole right rh_temporalpole NA 1
CTX_RH_TRANSVERSETEMPORAL_SUVR 1.02843803135812 rh_transversetemporal right rh_transversetemporal 1.02843803135812 1
CTX_LH_BANKSSTS_SUVR 1.23769482649841 lh_bankssts left lh_bankssts 1.23769482649841 2
CTX_LH_CAUDALANTERIORCINGULATE_SUVR 1.16467493273537 lh_caudalanteriorcingulate left lh_caudalanteriorcingulate 1.16467493273537 2
CTX_LH_CAUDALMIDDLEFRONTAL_SUVR 1.10179230473094 lh_caudalmiddlefrontal left lh_caudalmiddlefrontal 1.10179230473094 2
CTX_LH_CUNEUS_SUVR 1.0950724671709 lh_cuneus left lh_cuneus 1.0950724671709 2
CTX_LH_ENTORHINAL_SUVR 0.899585441256368 lh_entorhinal left lh_entorhinal NA 2
CTX_LH_FRONTALPOLE_SUVR 0.874128055631798 lh_frontalpole left lh_frontalpole NA 2
CTX_LH_FUSIFORM_SUVR 1.0848702532272 lh_fusiform left lh_fusiform 1.0848702532272 2
CTX_LH_INFERIORPARIETAL_SUVR 1.10253507549381 lh_inferiorparietal left lh_inferiorparietal 1.10253507549381 2
CTX_LH_INFERIORTEMPORAL_SUVR 1.06259006153703 lh_inferiortemporal left lh_inferiortemporal 1.06259006153703 2
CTX_LH_INSULA_SUVR 1.02999592459371 lh_insula left lh_insula 1.02999592459371 2
CTX_LH_ISTHMUSCINGULATE_SUVR 1.17134968086752 lh_isthmuscingulate left lh_isthmuscingulate 1.17134968086752 2
CTX_LH_LATERALOCCIPITAL_SUVR 1.09045704877323 lh_lateraloccipital left lh_lateraloccipital 1.09045704877323 2
CTX_LH_LATERALORBITOFRONTAL_SUVR 1.11927083883296 lh_lateralorbitofrontal left lh_lateralorbitofrontal 1.11927083883296 2
CTX_LH_LINGUAL_SUVR 1.03626871316494 lh_lingual left lh_lingual 1.03626871316494 2
CTX_LH_MEDIALORBITOFRONTAL_SUVR 1.03984625993886 lh_medialorbitofrontal left lh_medialorbitofrontal 1.03984625993886 2
CTX_LH_MIDDLETEMPORAL_SUVR 1.01378475835023 lh_middletemporal left lh_middletemporal 1.01378475835023 2
CTX_LH_PARACENTRAL_SUVR 1.10907093620969 lh_paracentral left lh_paracentral 1.10907093620969 2
CTX_LH_PARAHIPPOCAMPAL_SUVR 0.958162434478044 lh_parahippocampal left lh_parahippocampal NA 2
CTX_LH_PARSOPERCULARIS_SUVR 1.07908001803235 lh_parsopercularis left lh_parsopercularis 1.07908001803235 2
CTX_LH_PARSORBITALIS_SUVR 1.03475206937182 lh_parsorbitalis left lh_parsorbitalis 1.03475206937182 2
CTX_LH_PARSTRIANGULARIS_SUVR 1.10087944158831 lh_parstriangularis left lh_parstriangularis 1.10087944158831 2
CTX_LH_PERICALCARINE_SUVR 1.22114158680125 lh_pericalcarine left lh_pericalcarine 1.22114158680125 2
CTX_LH_POSTCENTRAL_SUVR 1.01421011121424 lh_postcentral left lh_postcentral 1.01421011121424 2
CTX_LH_POSTERIORCINGULATE_SUVR 1.16994580609517 lh_posteriorcingulate left lh_posteriorcingulate 1.16994580609517 2
CTX_LH_PRECENTRAL_SUVR 1.08050897826473 lh_precentral left lh_precentral 1.08050897826473 2
CTX_LH_PRECUNEUS_SUVR 1.14471705766241 lh_precuneus left lh_precuneus 1.14471705766241 2
CTX_LH_ROSTRALANTERIORCINGULATE_SUVR 1.10592092360675 lh_rostralanteriorcingulate left lh_rostralanteriorcingulate 1.10592092360675 2
CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR 1.07007887779998 lh_rostralmiddlefrontal left lh_rostralmiddlefrontal 1.07007887779998 2
CTX_LH_SUPERIORFRONTAL_SUVR 1.02988513866801 lh_superiorfrontal left lh_superiorfrontal 1.02988513866801 2
CTX_LH_SUPERIORPARIETAL_SUVR 1.0559399372057 lh_superiorparietal left lh_superiorparietal 1.0559399372057 2
CTX_LH_SUPERIORTEMPORAL_SUVR 1.00282697971955 lh_superiortemporal left lh_superiortemporal 1.00282697971955 2
CTX_LH_SUPRAMARGINAL_SUVR 1.08846918073873 lh_supramarginal left lh_supramarginal 1.08846918073873 2
CTX_LH_TEMPORALPOLE_SUVR 0.915687130016088 lh_temporalpole left lh_temporalpole NA 2
CTX_LH_TRANSVERSETEMPORAL_SUVR 1.05488078557953 lh_transversetemporal left lh_transversetemporal 1.05488078557953 2
CTX_RH_BANKSSTS_SUVR 1.23648599351478 rh_bankssts right rh_bankssts 1.23648599351478 2
CTX_RH_CAUDALANTERIORCINGULATE_SUVR 1.13279969323951 rh_caudalanteriorcingulate right rh_caudalanteriorcingulate 1.13279969323951 2
CTX_RH_CAUDALMIDDLEFRONTAL_SUVR 1.07931482068136 rh_caudalmiddlefrontal right rh_caudalmiddlefrontal 1.07931482068136 2
CTX_RH_CUNEUS_SUVR 1.06844919369917 rh_cuneus right rh_cuneus 1.06844919369917 2
CTX_RH_ENTORHINAL_SUVR 0.893900588176892 rh_entorhinal right rh_entorhinal NA 2
CTX_RH_FRONTALPOLE_SUVR 0.911057328928898 rh_frontalpole right rh_frontalpole NA 2
CTX_RH_FUSIFORM_SUVR 1.05583394654317 rh_fusiform right rh_fusiform 1.05583394654317 2
CTX_RH_INFERIORPARIETAL_SUVR 1.0810088545694 rh_inferiorparietal right rh_inferiorparietal 1.0810088545694 2
