"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.47796386820281 5e-04 TRUE "0" "1" "#25868D"
2 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.314375487118691 0.009 TRUE "0" "1" "#25868D"
3 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.483507634954129 0 TRUE "0" "1" "#25868D"
4 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.403952966965505 0.001 TRUE "0" "1" "#25868D"
5 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.00793421023816335 0.505 FALSE "1" NA "#25868D"
6 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.197580077000073 0.093 FALSE "1" NA "#25868D"
7 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.155007075840766 0.1205 FALSE "1" NA "#25868D"
8 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.202656881380054 0.062 FALSE "1" NA "#25868D"
9 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.124169247967311 0.151 FALSE "1" NA "#25868D"
10 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.304930915036432 0.012 TRUE "0" "1" "#25868D"
