"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.0633850089154317 0.3025 FALSE "1" NA "#B14054"
2 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" -0.0442301744160506 0.409 FALSE "1" NA "#B14054"
3 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.327699917253056 0.0025 TRUE "0" "1" "#B14054"
4 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.406356594289077 5e-04 TRUE "0" "1" "#B14054"
5 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.219568695160731 0.0275 TRUE "0" "1" "#B14054"
6 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.426930536346221 0 TRUE "0" "1" "#B14054"
7 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.338702385033864 0.005 TRUE "0" "1" "#B14054"
8 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.200706382709287 0.0695 FALSE "1" NA "#B14054"
9 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.14116081065778 0.1455 FALSE "1" NA "#B14054"
10 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" -0.0146047802127565 0.463 FALSE "1" NA "#B14054"
