"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.17433274654706 0.096 FALSE "1" NA "#A26296"
2 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.237815185679764 0.027 TRUE "0" "1" "#A26296"
3 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.418173535736159 0.004 TRUE "0" "1" "#A26296"
4 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.538938875765958 0 TRUE "0" "1" "#A26296"
5 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.26011124581182 0.023 TRUE "0" "1" "#A26296"
6 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.603884469370247 0 TRUE "0" "1" "#A26296"
7 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.356541307711542 0.003 TRUE "0" "1" "#A26296"
8 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.221132010063443 0.037 TRUE "0" "1" "#A26296"
9 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.195815106495607 0.0535 FALSE "1" NA "#A26296"
10 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.356689459778248 0.0035 TRUE "0" "1" "#A26296"
