"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.141983092095775 0.17 FALSE "1" NA "#B14054"
2 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.30579727766463 0.007 TRUE "0" "1" "#B14054"
3 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.293713679563187 0.0125 TRUE "0" "1" "#B14054"
4 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.452518746363483 0 TRUE "0" "1" "#B14054"
5 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.281314614500912 0.012 TRUE "0" "1" "#B14054"
6 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.536393539432498 0 TRUE "0" "1" "#B14054"
7 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.319393858504781 0.011 TRUE "0" "1" "#B14054"
8 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" -0.047847595728336 0.337 FALSE "1" NA "#B14054"
9 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.172973050172444 0.091 FALSE "1" NA "#B14054"
10 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.213506192303522 0.039 TRUE "0" "1" "#B14054"
