"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.11070618259505 0.1825 FALSE "1" NA "#B14054"
2 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.253406990515564 0.0315 TRUE "0" "1" "#B14054"
3 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.260927371289836 0.0165 TRUE "0" "1" "#B14054"
4 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.411873060261027 0 TRUE "0" "1" "#B14054"
5 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.257173600115468 0.019 TRUE "0" "1" "#B14054"
6 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.465004040425315 0 TRUE "0" "1" "#B14054"
7 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.283077618265685 0.018 TRUE "0" "1" "#B14054"
8 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" -0.073271466393554 0.287 FALSE "1" NA "#B14054"
9 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.148944361416928 0.1035 FALSE "1" NA "#B14054"
10 "intercept" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.175326304411963 0.088 FALSE "1" NA "#B14054"
