"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.306384267660285 0.0095 TRUE "0" "1" "#25868D"
2 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.264708306209965 0.012 TRUE "0" "1" "#25868D"
3 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.317958912808471 0.005 TRUE "0" "1" "#25868D"
4 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.275239973859171 0.012 TRUE "0" "1" "#25868D"
5 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" -0.12174352768678 0.1595 FALSE "1" NA "#25868D"
6 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.0395487779353041 0.3695 FALSE "1" NA "#25868D"
7 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" -0.122815463620341 0.1765 FALSE "1" NA "#25868D"
8 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" -0.0433966797618756 0.354 FALSE "1" NA "#25868D"
9 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" -0.0384923123087239 0.3925 FALSE "1" NA "#25868D"
10 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" -0.086043618859469 0.275 FALSE "1" NA "#25868D"
