"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.0874462032848817 0.2645 FALSE "1" NA "#A26296"
2 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.15024914645611 0.1125 FALSE "1" NA "#A26296"
3 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.251905053038475 0.029 TRUE "0" "1" "#A26296"
4 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.423117397815243 0.0025 TRUE "0" "1" "#A26296"
5 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.135676341613112 0.151 FALSE "1" NA "#A26296"
6 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.345314323900378 0.007 TRUE "0" "1" "#A26296"
7 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.166123339836807 0.0945 FALSE "1" NA "#A26296"
8 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.0675513846823217 0.307 FALSE "1" NA "#A26296"
9 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.0156008199214875 0.458 FALSE "1" NA "#A26296"
10 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.150534563374746 0.1305 FALSE "1" NA "#A26296"
