"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.174963681225925 0.0935 FALSE "1" NA "#A26296"
2 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.261276341790479 0.023 TRUE "0" "1" "#A26296"
3 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.173968216845388 0.0945 FALSE "1" NA "#A26296"
4 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.335189831478594 0.0055 TRUE "0" "1" "#A26296"
5 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.33790457980599 0.003 TRUE "0" "1" "#A26296"
6 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.35867307015279 0.005 TRUE "0" "1" "#A26296"
7 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.192015114717356 0.07 FALSE "1" NA "#A26296"
8 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.125418667788945 0.1765 FALSE "1" NA "#A26296"
9 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.126047745926649 0.144 FALSE "1" NA "#A26296"
10 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.214161048037001 0.0445 TRUE "0" "1" "#A26296"
