"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.311046646198733 0.0135 TRUE "0" "1" "#25868D"
2 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.250805147682342 0.024 TRUE "0" "1" "#25868D"
3 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.358978348295892 0.0025 TRUE "0" "1" "#25868D"
4 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.320005874368201 0.009 TRUE "0" "1" "#25868D"
5 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" -0.0518484534241357 0.3355 FALSE "1" NA "#25868D"
6 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.163143555415999 0.119 FALSE "1" NA "#25868D"
7 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.20106452569154 0.073 FALSE "1" NA "#25868D"
8 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" -0.0574048555873865 0.251 FALSE "1" NA "#25868D"
9 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.0323296023162677 0.4355 FALSE "1" NA "#25868D"
10 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" -0.165278702667342 0.0855 FALSE "1" NA "#25868D"
