"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.0933370438139028 0.2365 FALSE "1" NA "#A26296"
2 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.235149756444612 0.0335 TRUE "0" "1" "#A26296"
3 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.265409855439258 0.018 TRUE "0" "1" "#A26296"
4 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.360365338083 0.0015 TRUE "0" "1" "#A26296"
5 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.290031900997911 0.0115 TRUE "0" "1" "#A26296"
6 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.468385562968121 0.001 TRUE "0" "1" "#A26296"
7 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.368558755591832 0.002 TRUE "0" "1" "#A26296"
8 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.182484043956262 0.08 FALSE "1" NA "#A26296"
9 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.205456153068707 0.0575 FALSE "1" NA "#A26296"
10 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.20262812366775 0.0565 FALSE "1" NA "#A26296"
