"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.0170423284431938 0.419 FALSE "1" NA "#DC4D35"
2 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" -0.0310224931455552 0.388 FALSE "1" NA "#DC4D35"
3 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.329444921961891 0.003 TRUE "0" "1" "#DC4D35"
4 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.516039868939286 0 TRUE "0" "1" "#DC4D35"
5 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.236419556127487 0.0125 TRUE "0" "1" "#DC4D35"
6 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.491294520939084 0 TRUE "0" "1" "#DC4D35"
7 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.458093837953589 5e-04 TRUE "0" "1" "#DC4D35"
8 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.340249641030699 0.0045 TRUE "0" "1" "#DC4D35"
9 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.24100682950496 0.0295 TRUE "0" "1" "#DC4D35"
10 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.0916377699947288 0.245 FALSE "1" NA "#DC4D35"
