"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.424614819780896 0 TRUE "0" "1" "#25868D"
2 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.285099047767711 0.011 TRUE "0" "1" "#25868D"
3 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.369704387874862 0.002 TRUE "0" "1" "#25868D"
4 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.3482172229816 0.0055 TRUE "0" "1" "#25868D"
5 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" -0.0822882008571031 0.267 FALSE "1" NA "#25868D"
6 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.0787013646714488 0.265 FALSE "1" NA "#25868D"
7 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" -0.0262457985856531 0.407 FALSE "1" NA "#25868D"
8 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.00341731573244257 0.484 FALSE "1" NA "#25868D"
9 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.0294661866151259 0.41 FALSE "1" NA "#25868D"
10 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.0142463200084627 0.4505 FALSE "1" NA "#25868D"
