"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.114599265243635 0.1715 FALSE "1" NA "#B14054"
2 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.030467707082555 0.3885 FALSE "1" NA "#B14054"
3 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.369822131192439 0.002 TRUE "0" "1" "#B14054"
4 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.502419094655929 0 TRUE "0" "1" "#B14054"
5 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.241715197692824 0.014 TRUE "0" "1" "#B14054"
6 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.485688611785546 0 TRUE "0" "1" "#B14054"
7 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.372251699168758 0.002 TRUE "0" "1" "#B14054"
8 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.256433967624508 0.035 TRUE "0" "1" "#B14054"
9 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.190123295334999 0.072 FALSE "1" NA "#B14054"
10 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.0709081159196101 0.3025 FALSE "1" NA "#B14054"
