"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.45541133404804 0 TRUE "0" "1" "#92C051"
2 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.347029464632088 0.0025 TRUE "0" "1" "#92C051"
3 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.328345825822042 0.0025 TRUE "0" "1" "#92C051"
4 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.286896863026138 0.0055 TRUE "0" "1" "#92C051"
5 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.212319121235816 0.043 TRUE "0" "1" "#92C051"
6 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.121353222380238 0.195 FALSE "1" NA "#92C051"
7 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.170748932268021 0.095 FALSE "1" NA "#92C051"
8 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.125339677483237 0.1785 FALSE "1" NA "#92C051"
9 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.216993436392706 0.055 FALSE "1" NA "#92C051"
10 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.241228828575631 0.035 TRUE "0" "1" "#92C051"
