"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.38993787062547 0.002 TRUE "0" "1" "#92C051"
2 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.288974266263099 0.013 TRUE "0" "1" "#92C051"
3 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.274954353448532 0.014 TRUE "0" "1" "#92C051"
4 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.208280401077927 0.0525 FALSE "1" NA "#92C051"
5 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.109489938600034 0.192 FALSE "1" NA "#92C051"
6 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.0554682324517344 0.3405 FALSE "1" NA "#92C051"
7 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.0485676346127731 0.3425 FALSE "1" NA "#92C051"
8 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.0409895596326932 0.366 FALSE "1" NA "#92C051"
9 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.0975867233306044 0.225 FALSE "1" NA "#92C051"
10 "intercept" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.156458383736243 0.1125 FALSE "1" NA "#92C051"
