"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.227802380232235 0.0295 TRUE "0" "1" "#B14054"
2 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.153332486001771 0.1215 FALSE "1" NA "#B14054"
3 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.378731796646481 0.0015 TRUE "0" "1" "#B14054"
4 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.43021824403963 0 TRUE "0" "1" "#B14054"
5 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.240054732871983 0.023 TRUE "0" "1" "#B14054"
6 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.262095168739066 0.018 TRUE "0" "1" "#B14054"
7 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.211278148267638 0.0505 FALSE "1" NA "#B14054"
8 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.259540129322505 0.0295 TRUE "0" "1" "#B14054"
9 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.121641575555065 0.1675 FALSE "1" NA "#B14054"
10 "slope" "Sensitivity4" "F1 predAB0 T1 (slope)" "amyloid_map_ABdiagnosed_suvrmean.csv" -0.0491054747754633 0.3445 FALSE "1" NA "#B14054"
