"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.409438390598836 0 TRUE "0" "1" "#25868D"
2 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.293005272752736 0.0085 TRUE "0" "1" "#25868D"
3 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.383749996793708 0.003 TRUE "0" "1" "#25868D"
4 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.333196911231874 0.004 TRUE "0" "1" "#25868D"
5 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" -0.0750115049810551 0.2515 FALSE "1" NA "#25868D"
6 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.185156443834483 0.073 FALSE "1" NA "#25868D"
7 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.153898855628897 0.105 FALSE "1" NA "#25868D"
8 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" -0.0750253879173981 0.244 FALSE "1" NA "#25868D"
9 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.00479526577446857 0.4755 FALSE "1" NA "#25868D"
10 "slope" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" -0.197146661334716 0.0745 FALSE "1" NA "#25868D"
