"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.298603836395494 0.0085 TRUE "0" "1" "#92C051"
2 "slope" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.23581483590117 0.0325 TRUE "0" "1" "#92C051"
3 "slope" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.276919883621693 0.014 TRUE "0" "1" "#92C051"
4 "slope" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.301511302334725 0.006 TRUE "0" "1" "#92C051"
5 "slope" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.316278814246697 0.0055 TRUE "0" "1" "#92C051"
6 "slope" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.299563238005912 0.011 TRUE "0" "1" "#92C051"
7 "slope" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.325870071079387 0.005 TRUE "0" "1" "#92C051"
8 "slope" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.142094961268969 0.1625 FALSE "1" NA "#92C051"
9 "slope" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.00319032471339985 0.499 FALSE "1" NA "#92C051"
10 "slope" "main" "F0 predAB0 T0" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.0800767361410066 0.31 FALSE "1" NA "#92C051"
