"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.308477614467763 0.01 TRUE "0" "1" "#5B3976"
2 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.268717185491153 0.0175 TRUE "0" "1" "#5B3976"
3 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.313257671054038 0.007 TRUE "0" "1" "#5B3976"
4 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.292548019194918 0.0125 TRUE "0" "1" "#5B3976"
5 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.24628273328364 0.0285 TRUE "0" "1" "#5B3976"
6 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.333035895199276 0.0045 TRUE "0" "1" "#5B3976"
7 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.311791706900398 0.006 TRUE "0" "1" "#5B3976"
8 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.246292053606294 0.0325 TRUE "0" "1" "#5B3976"
9 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.274670743874818 0.0195 TRUE "0" "1" "#5B3976"
10 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.245714682435382 0.0395 TRUE "0" "1" "#5B3976"
