"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.123945434415678 0.1825 FALSE "1" NA "#A26296"
2 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.285545901091803 0.013 TRUE "0" "1" "#A26296"
3 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.30224493888145 0.0075 TRUE "0" "1" "#A26296"
4 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.398576331926959 5e-04 TRUE "0" "1" "#A26296"
5 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.312092953933495 0.0065 TRUE "0" "1" "#A26296"
6 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.536155940788993 0 TRUE "0" "1" "#A26296"
7 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.389138891560163 0.002 TRUE "0" "1" "#A26296"
8 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.189788411143409 0.077 FALSE "1" NA "#A26296"
9 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.222983048593379 0.0355 TRUE "0" "1" "#A26296"
10 "intercept" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_convVnonconv_suvrdiff_d.csv" 0.2389928910211 0.0245 TRUE "0" "1" "#A26296"
