"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.544378193899912 0 TRUE "0" "1" "#25868D"
2 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.335424263800952 0.0035 TRUE "0" "1" "#25868D"
3 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.493420947307099 0 TRUE "0" "1" "#25868D"
4 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.385863572230279 5e-04 TRUE "0" "1" "#25868D"
5 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" -0.0341346037491759 0.3945 FALSE "1" NA "#25868D"
6 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.160579940920981 0.0985 FALSE "1" NA "#25868D"
7 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.104744091214081 0.191 FALSE "1" NA "#25868D"
8 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.182014111191532 0.08 FALSE "1" NA "#25868D"
9 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.11428293435745 0.193 FALSE "1" NA "#25868D"
10 "intercept" "Sensitivity1" "F1 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.328146051921621 0.005 TRUE "0" "1" "#25868D"
