"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.315190162266755 0.0105 TRUE "0" "1" "#5B3976"
2 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.29326416317287 0.01 TRUE "0" "1" "#5B3976"
3 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.27048250944296 0.015 TRUE "0" "1" "#5B3976"
4 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.292247841959232 0.0115 TRUE "0" "1" "#5B3976"
5 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.195938918131388 0.067 FALSE "1" NA "#5B3976"
6 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.19447697763559 0.0645 FALSE "1" NA "#5B3976"
7 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.174780551969959 0.076 FALSE "1" NA "#5B3976"
8 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.254810591722465 0.0245 TRUE "0" "1" "#5B3976"
9 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.164419947789209 0.115 FALSE "1" NA "#5B3976"
10 "slope" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.170219253644129 0.108 FALSE "1" NA "#5B3976"
