"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.14579915901404 0.1325 FALSE "1" NA "#A26296"
2 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.237727136477834 0.026 TRUE "0" "1" "#A26296"
3 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.392371929120626 0.0015 TRUE "0" "1" "#A26296"
4 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.552223982116443 0 TRUE "0" "1" "#A26296"
5 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.213705139784514 0.036 TRUE "0" "1" "#A26296"
6 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.587389019348226 0 TRUE "0" "1" "#A26296"
7 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.344128110149867 0.002 TRUE "0" "1" "#A26296"
8 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.236301385461379 0.0385 TRUE "0" "1" "#A26296"
9 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.210179435755126 0.0495 TRUE "0" "1" "#A26296"
10 "slope" "Sensitivity3" "F1 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.331804827427286 0.004 TRUE "0" "1" "#A26296"
