"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.290796842196121 0.017 TRUE "0" "1" "#DC4D35"
2 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.152018068545996 0.1305 FALSE "1" NA "#DC4D35"
3 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.416842401249612 5e-04 TRUE "0" "1" "#DC4D35"
4 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.536347213076239 0 TRUE "0" "1" "#DC4D35"
5 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.244621135771093 0.019 TRUE "0" "1" "#DC4D35"
6 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.412165294745646 5e-04 TRUE "0" "1" "#DC4D35"
7 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.380903120789611 0 TRUE "0" "1" "#DC4D35"
8 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.392503504413174 0.001 TRUE "0" "1" "#DC4D35"
9 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.179536882356968 0.087 FALSE "1" NA "#DC4D35"
10 "slope" "Sensitivity5" "F1 predAB0 T1 (intcor)" "amyloid_map_ABdiagnosed_suvrmean.csv" 0.02843684307746 0.426 FALSE "1" NA "#DC4D35"
