"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.36490415517993 0.0015 TRUE "0" "1" "#92C051"
2 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.22429390327311 0.0555 FALSE "1" NA "#92C051"
3 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.303462492006994 0.008 TRUE "0" "1" "#92C051"
4 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.332018166160953 0.0035 TRUE "0" "1" "#92C051"
5 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.313844926668904 0.005 TRUE "0" "1" "#92C051"
6 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.233668185961658 0.033 TRUE "0" "1" "#92C051"
7 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.282069385652312 0.0055 TRUE "0" "1" "#92C051"
8 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.122336478310426 0.1675 FALSE "1" NA "#92C051"
9 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.0149849737622812 0.4625 FALSE "1" NA "#92C051"
10 "slope" "main" "F0 predAB0 T0" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.082391606223141 0.2565 FALSE "1" NA "#92C051"
