"yearsBeforeAB" "effect" "analysis" "plottext" "amyloidmap" "empirical_correlation" "spinP" "spinsignificant" "spinaalpha" "spinaalpha2" "color"
1 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.281574167827054 0.0155 TRUE "0" "1" "#5B3976"
2 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.242604788419904 0.0295 TRUE "0" "1" "#5B3976"
3 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.271036093097724 0.0145 TRUE "0" "1" "#5B3976"
4 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.248568802399266 0.026 TRUE "0" "1" "#5B3976"
5 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.186732299469433 0.0705 FALSE "1" NA "#5B3976"
6 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.276303701859451 0.015 TRUE "0" "1" "#5B3976"
7 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.239998305519591 0.0335 TRUE "0" "1" "#5B3976"
8 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.19715684145474 0.063 FALSE "1" NA "#5B3976"
9 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.21741288178276 0.042 TRUE "0" "1" "#5B3976"
10 "intercept" "Sensitivity2" "F0 predAB0 T1" "amyloid_map_ABdiagnosedVnonconv_suvrdiff_d.csv" 0.187988354381957 0.088 FALSE "1" NA "#5B3976"
